Mouse_ID,Condition,Age_weeks,Bodyweight_grams,Percent_baseline
18N,BSH+ L,7,15,29.31034483
18L,BSH+ L,7,17.4,28.88888889
19N,BSH+ L,7,19.4,44.7761194
19L,BSH+ L,7,16,28
20N,BSH+ L,7,17.2,35.43307087
20L,BSH+ L,7,17,20.56737589
1N,BSH- P,8,18.5,76.19047619
1L,BSH- P,8,19.4,79.62962963
2N,BSH- P,8,18.7,65.48672566
2L,BSH- P,8,16.9,22.46376812
3N,BSH- P,8,17.6,18.12080537
3L,BSH- P,8,16.2,14.08450704
4N,BSH- P,8,17.2,32.30769231
4L,BSH- P,8,15.2,36.93693694
5N,BSH- P,8,15.5,27.04918033
5L,BSH- P,8,16.3,30.4
6N,BSH- L,8,20,83.48623853
6L,BSH- L,8,19.3,36.87943262
7N,BSH- L,8,18.3,72.64150943
7L,BSH- L,8,18.8,62.06896552
8N,BSH- L,8,18.5,37.03703704
8L,BSH- L,8,20.8,50.72463768
9N,BSH- L,8,19.1,69.02654867
9L,BSH- L,8,16.8,29.23076923
10N,BSH- L,8,17.9,31.61764706
10L,BSH- L,8,18.3,83
11N,BSH+ P,8,19,86.2745098
11L,BSH+ P,8,17.2,45.76271186
12N,BSH+ P,8,18.6,52.45901639
12L,BSH+ P,8,16.4,19.7080292
13N,BSH+ P,8,17.5,18.24324324
13L,BSH+ P,8,17.6,27.53623188
14N,BSH+ P,8,15,47.05882353
14L,BSH+ P,8,15.1,34.82142857
15N,BSH+ P,8,16,35.59322034
15L,BSH+ P,8,16,24.03100775
16N,BSH+ L,8,17.7,43.90243902
16L,BSH+ L,8,16.8,69.6969697
17N,BSH+ L,8,19.9,48.50746269
17L,BSH+ L,8,19.4,59.01639344
18N,BSH+ L,8,16.1,38.79310345
18L,BSH+ L,8,19.9,47.40740741
19N,BSH+ L,8,20.2,50.74626866
19L,BSH+ L,8,17.7,41.6
20N,BSH+ L,8,19.1,50.39370079
20L,BSH+ L,8,19.3,36.87943262
