"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ LETROZOLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma",12.2313234545732,11.6775942632453,13.8229199776662,3.04719943200745,9.21184987829577,15.5044712419952,13.4025753478016,7.80548038530843,12.3126865511566,13.7055658833729,11.5018088018557,11.798873656618,7.24683553731514,15.1001605960058,9.8051643508738,13.4507468021963,9.53946586973954,15.0695820082537,11.5269416582172,12.1530133513187,14.1791193503642,17.1177366000981,15.4558628755112,2.34001502988978,4.39109906991426,0.512574641673419,-1.65983853721724,8.75963667322922,0.265625061111446,0.0683120505137452,1,0.0820239768938492,1
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Natronorubrum",12.2307078419012,11.6632729301816,13.8088856266993,2.99855290942025,9.21319007201808,15.5020949292844,13.3978488306331,7.79851821662567,12.3020704524814,13.6929168171983,11.487456903662,11.7910786908881,7.18100737239923,15.0860911611726,9.79998335609706,13.4350839068236,9.54884008911879,15.062146016437,11.5183419495138,12.1510011497862,14.1704760062995,17.1121023646989,15.4478956094529,2.47137978850834,4.49596688644472,0.540872885306362,-1.88775694527897,6.9217639524418,0.265210669513854,0.0678223298494458,1,0.0805225878997164,1
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina",-1.88944106268575,-2.00864183247234,-1.77307055323247,-2.15228633283719,-2.37775482972743,-2.23726886568885,6.19953635246786,-2.91179759598695,-2.20443431526451,-2.64686926129035,-1.93915971996223,-1.73238045671083,-2.45808209118311,-3.06812870749612,-0.040100715763522,-3.29350265203294,-1.92257961065343,-0.197704926505075,-1.4114792605797,-2.7030978720854,-2.34778113744811,-2.85425829945964,-2.3383812703417,0.0662524148208252,5.02172779111574,0.0171528169894639,-6.1210315787282,3.60899709351185,0.492979720612874,0.697368081948919,1,0.776710989764879,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__DTU008",7.81003148127729,8.13765950697664,7.7031888449997,7.47900734464183,8.55657038639559,7.72180830250511,6.78606243279829,8.20345235514698,9.03775476523722,8.23157533631086,7.13385772239709,8.70258362918007,8.08545683014882,7.88127042829783,8.53037739500712,7.86701804091305,8.80245365357284,3.69272775072214,5.20496848037794,7.67676983799788,7.65043160879179,5.23215020387392,7.682304930583,-0.483547163452612,1.55018178377103,-0.290062251815812,-10.9903058754063,1.989588313303,0.348437533955421,0.122756259554731,1,0.244417214461235,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__JAAYVZ01",-2.44923081168664,-2.23717845535251,-2.60702540457296,-1.49925523862691,-3.17279132261589,-2.18074897762916,-3.66430743691742,-2.55318494553225,1.01654708235913,-2.90755905174137,-2.28976628381478,-3.22912043912634,-1.87576914178131,-2.73443677598446,-2.09190257423265,-2.91782597699247,-2.22271544993362,-3.20219469838563,-0.976861915612959,-2.60446816691312,-3.12494318891847,-2.62328893367532,-3.04559713092622,-0.356970016123791,4.38227355364179,-0.0694072057484463,-4.10905800143054,4.28037183960579,0.460937507996083,0.726434867190255,1,0.72117524261729,0.99506460547966
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115",-1.17650093166814,-1.02592954672147,-1.32824220402229,-1.86591846548524,-2.31857350226057,-2.46726047869721,-3.78289702154259,-3.03910611292274,2.37879981813295,1.22754096149468,-0.150900688608157,0.18312090450895,-1.36990421199445,0.336332602571899,-1.61771379641525,-2.60977613272173,0.639646768177727,-2.81380789194388,-1.7340146793565,-2.49904174614738,-2.60366794442711,-2.2293285242623,-0.147911453817157,-0.395185278389745,4.06965236940428,-0.0961732720674119,-3.75271570447368,3.76572868268977,0.460218416856095,0.694672708670169,1,0.68179204937864,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01",-1.50493737338218,-1.39859980660651,-1.69141873173084,-1.82200219966702,0.511380581357741,0.810518040979364,-3.76578146425537,-2.27062459477749,-2.14024514357322,1.79963578071246,-2.55852345625449,-2.44131714253094,-2.72352035478674,0.602043768089979,-2.34287659454175,-2.40587444946599,-2.30710547171386,-3.19735096349476,-1.4010194206643,-2.63939897514394,0.772274800472085,-2.83451283643771,-2.44026637611692,-0.361855873251649,4.59740055181114,-0.071578010330369,-4.22846340267757,3.84536303744533,0.457098292697049,0.698616675198574,1,0.680339711565524,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA11600",-2.25659839751442,-2.21498648166365,-2.32088099022875,-1.79937863952382,-3.59230160249812,-2.7202515893829,-4.09325447663742,-2.28073496314555,-2.44917130804372,-0.721664555921683,-2.64081054619278,-2.07166116498694,-1.32991754079241,-2.80396892632727,-2.26123256541442,-2.62706433344614,-1.42747763013499,-2.97660814531525,-1.54919131550394,-2.78397903379747,-2.00327594709445,-2.15895220178514,-2.63097317787371,-0.0983993354639932,4.15233841781809,-0.0165759221610894,-3.91991818090387,4.66630479887673,0.491419658527015,0.713697338074979,1,0.718185573134296,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14; g__AC-14",-1.96450859050879,-1.70225983434785,-2.16775292980217,-1.69008559313986,-0.597221202750969,-2.05256059430322,-3.67633713357789,-3.28150422108701,-2.20974947290848,-0.694698388988964,-2.71343088796501,0.0530996663657497,-1.98925128031395,-2.47804104399445,-2.33465825154552,-0.252827871418395,-2.05809201240282,-2.97177444230128,-1.83980235569359,-2.36592182232732,-3.17279769742871,-2.2809023024194,-2.8842059108564,-0.44087864734513,4.04163043178807,-0.0890318139065814,-4.35109424262956,3.67530676861295,0.44843751060317,0.650147510308597,0.993929262312805,0.649809579932451,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__RAAP-2; g__Bog-756",-2.21950564847253,-2.07070356890954,-2.4076333598489,-2.03534708350346,-3.20019462807988,-2.70707968315926,-3.29267814586651,-2.53069384782236,-2.08875176937405,-0.595277608915717,-2.55306735170424,-0.0640730853291931,-2.02299644312387,-2.40461573168108,-3.22297289681972,-2.85832804129047,-1.61278414884572,-2.53483369088975,-1.11790970465361,-2.45403092829863,-2.81368077295401,-2.71426476742437,-2.94600037779815,-0.336957766494134,4.24706996220051,-0.0633583708348193,-3.9292613543749,3.757173704059,0.464898603098226,0.655621497332068,1,0.677404167523653,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA8592; g__UBA8592",-0.475919217726332,-0.758961970751306,-0.167322997934438,-2.17061615458553,-0.822097433869276,-0.318440996745675,-1.36141844986179,-3.06222743393215,0.113286363630037,0.353955509522615,-0.230221527881094,-0.0140062595545469,-2.59992389458102,0.677768162291201,0.974169131322933,0.456733739041267,0.423334876950358,-2.86808091198665,-1.52735654635275,-0.363552374599379,-0.185588528173168,-2.68674505616072,-0.515969718920976,0.609746470931391,2.97713237646702,0.157221614857118,-3.84526072676722,4.96208997526743,0.411856492709273,0.615826671587978,1,0.568714023495854,0.995064605479659
