"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH- VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma; s__Halobiforma nitratireducens",13.8797840174328,11.73625825383,15.5315570088763,14.8288003264249,14.3638110483618,15.8815934496928,15.7837515590759,9.32991894304195,16.2819899235559,15.9285729123301,15.3134349236306,12.8985319278125,15.8833134954426,3.09210664590517,9.41101809960465,15.7663786373431,13.8545758016514,7.94356620551872,12.4951314294497,13.9148080743942,11.5271022226987,11.9475148430068,7.3442359894221,3.39331623468182,4.37436288354787,0.792529036206078,-1.23908269960214,14.4942852817847,0.124805166364412,0.012914267567331,0.995095574529259,0.00426804474550218,0.760104951480445
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Natronorubrum; s__Natronorubrum sulfidifaciens",13.8706793782105,11.7345828658541,15.5196418073861,14.819338246205,14.3535048182679,15.8711779966464,15.774546564882,9.33365554452644,16.2705016154867,15.9229780993363,15.3018826918438,12.8902467833383,15.873396678382,3.08097961126545,9.41462469402367,15.7638166655367,13.8466380751721,7.94500438267102,12.4872084434063,13.9062871233904,11.4994371807412,11.9372018314117,7.3287097602757,3.41784297301782,4.32858149423038,0.839868084141786,-1.34396401177805,14.8932626877083,0.135937657647818,0.012816225389234,0.994783532138267,0.00441240744549568,0.759667020923195
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__Methanosarcina mazei",-1.61674484238891,-1.91658060349831,-1.37779549127216,-2.60604130278448,-2.22808086510206,-2.41552794268044,2.65693299460925,-2.54951671617723,-0.161071820750028,-1.76877135491296,-0.139083192561994,-2.40511108736361,-2.25703632501036,-1.62896641711803,-2.90720245343528,-2.13572960498282,6.6539781601833,-3.051028699326,-1.82820621836895,-2.60603203208622,-3.01677695995621,-1.7658060952068,-1.73113921879647,0.37105982085397,5.30620482518063,0.0676909876072816,-4.41188125910559,4.16273978563784,0.472698913509976,0.797254552665077,1,0.719765105734049,0.997976248665197
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__DTU008; s__DTU008 sp001421185",8.10159571122808,8.30086873498558,7.93686471888925,6.65626529275629,8.86359576011432,7.29940494057891,8.20525330656899,6.88618901958583,7.94433491454987,6.49380143506563,8.21743887368682,7.93363618850642,8.53999448199217,7.55951672778675,8.76872951815825,7.98958722048982,7.21783460408686,8.34270882445774,9.22539307333825,8.44324322664308,7.14132315409516,8.85134278823496,8.22507715351732,-0.472949080989148,1.20535936605665,-0.405758480853645,-5.19401588215163,2.19178777248122,0.325000040574129,0.192165501063584,1,0.19108022878824,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomethylophilaceae; g__Methanomethylophilus; s__Methanomethylophilus sp002495325",-2.31641841117132,-2.43144010264913,-2.19768910861338,-2.41562206973564,0.309774120367964,-1.83444641458323,-2.70010158240476,-2.27603574106921,-2.43108827093228,-2.52265577184808,-3.11015683013861,-2.64195333094088,-2.724673588167,-1.92543382540391,-2.8663427959988,-1.99852992827241,-3.21408879282937,-2.39417414298213,-2.11066222397099,-3.34915683554238,-2.28048566334805,-2.82607068967324,-1.50407501054877,0.278779578392946,4.22394175702171,0.057872031886856,-3.7884866722319,4.81292591623475,0.457098292697049,0.70068400090525,1,0.684477347826322,1
"d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrosocosmicus; s__Nitrosocosmicus oleophilus",-2.22400590027034,-2.32216479524935,-2.1022590040672,-1.96138400756713,-2.13838785110013,0.94396110069129,-2.37526389310733,-2.04582978361612,-2.19429948405123,-2.8974778395571,-2.51171049011086,-3.18664212692553,-2.89353659029068,-1.19959930694217,-2.50326106690428,-2.42544034745395,-2.97304350760476,-2.09279760800151,-2.20383352783334,-2.70433487514951,-2.61619603902118,-1.94827900900314,-2.39046832697969,0.412979490733072,4.29106694248816,0.0821982318640153,-3.4447556824103,4.65203574174542,0.457812508644603,0.651688086057083,0.999285177656464,0.712780640412219,0.997037532665435
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae; g__Acidobacterium; s__Acidobacterium capsulatum",-2.26768459619822,-2.40557183180456,-2.14515852763686,-2.66835372730857,-1.67600843590838,-2.51597647725917,-2.69072167216932,-1.82891355008057,-2.91972118479696,-2.72302915387067,-0.0375087719962153,-2.36211029334133,-2.65103465464218,-2.03308398325444,-3.04036377353491,-2.43765545669664,-2.97707607181783,-2.8201411980307,-1.85397006081355,-2.24303936598725,-2.78586899954937,-2.42623171458552,-2.27236249508737,0.290114468533233,4.23958416595174,0.061290558468159,-3.45947373079618,4.20319917468665,0.4703125060613,0.662310231827439,1,0.674497800477386,0.997474826985946
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__JAAYVZ01; s__JAAYVZ01 sp012516935",-2.30653851633376,-2.08463002981394,-2.51946232048198,-2.42382962320224,-2.3667901414855,-2.80722084606961,-2.50896462755093,-2.69783906292774,-2.51928938794869,-2.23345410031008,-2.18489736767354,-2.79034506790202,-2.95398328609767,-1.41525498235276,-2.74417008283958,-1.81951072371196,-3.14882104674833,-2.76301806864082,1.29509162632665,-3.01693891730541,-2.16270466835931,-2.50544096557041,-2.04141529704226,-0.58131533209772,4.57198037913816,-0.112266945370336,-4.29376274030677,3.08499371634668,0.45000001027527,0.608068227841636,1,0.617904154668861,0.999746202423737
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115; s__SZUA-115 sp003231035",-1.45042275446595,-0.913715635772931,-1.98472092094132,-2.64154795099379,-1.47067835923968,-2.75027979970802,-2.78570991982287,-2.02284680702211,-2.72242703785894,-1.91207349666654,-2.21599138964173,-2.86462667766015,0.55249282576615,-1.54673067731482,-2.43617731809939,-1.78611615082363,-2.89094322880203,-2.76114352337898,2.50661442842896,1.42178246101636,-0.117911033741944,-0.14481873594567,-2.22801058758488,-1.15687730784284,4.26788894086264,-0.232107238130979,-4.90883747786276,3.10331382579209,0.376562526743331,0.433128075592992,1,0.406171348968369,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01; s__",-0.951983229404286,-1.37602341499232,-0.567272096865146,0.676418693676228,-1.92402118964426,-2.25523720532224,-0.0545566852389801,-2.09353489520181,0.972863198795713,0.192611175626219,-0.356796837758719,-2.87842835016878,-0.292483238143875,-1.86381916418857,-0.528395973824916,0.0167652259243987,-3.01062900368576,-2.70256567230134,-2.19862161420025,1.75348040073017,-2.47019364921158,-2.51699385184217,-1.64943034958708,0.743188250056308,3.77867847924956,0.174361030351222,-3.60739204647534,6.31568632987693,0.416536678879364,0.571954618148314,1,0.588124675247353,0.997795350269409
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01; s__WYBL01 sp011526565",-1.08903368346089,-1.46800374163514,-0.720662510332263,-0.193641340633341,-1.91363772301005,-2.63469106633383,-0.0393112237274522,-1.95818909851524,-0.223871410409311,-0.145410425957584,-0.20207816744122,-2.82868164892156,-0.155099404454186,-0.865495799863256,-0.283413795916733,-0.0803708322701446,-3.0632525740051,-2.44803995145259,-2.35752671642811,-0.296686527392199,-2.66843456281267,-2.31813775905598,-2.04832948077775,0.732212341478176,3.47947648868756,0.158784218817218,-3.44718100302438,5.33107006434392,0.403125020477975,0.533819960613541,1,0.542847052328477,0.994724581669493
