"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma; s__Halobiforma nitratireducens",13.873472511955,11.7464953681557,14.6504812203729,3.14467731428941,9.41951946645073,15.7551842641065,13.8369606605995,7.93063672512677,12.4935293949369,13.9032073576202,11.4986558923837,11.9339091534055,7.3576425592731,14.6677345012817,14.598056114435,18.1820986641004,13.0368359269393,15.8961597994246,9.48927305130186,17.5621780825844,14.4946818914646,14.604765892481,15.0805332785189,3.48338251803546,4.51079392115178,0.833067600319706,-0.989543527536924,16.3538400093248,0.138845706973346,0.0121177929827604,0.50232784188191,0.00417273322652582,0.328471366311914
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Natronorubrum; s__Natronorubrum sulfidifaciens",13.8640998869111,11.7240657746878,14.6417822567144,3.0504622021201,9.40404437084668,15.7475419546423,13.8320389087997,7.92883533520606,12.472153073857,13.8960030362202,11.48450105878,11.930170434262,7.33993316174983,14.6633902127398,14.5934935303857,18.1752936609517,13.0268053700077,15.8872518953352,9.47983435503387,17.5513606714752,14.4839126519666,14.5946446629223,15.0713763401827,3.36720746082055,4.47505909940201,0.774229211524574,-1.10365712030515,12.5245699002227,0.135937657647818,0.0123348079804518,0.50681583471578,0.00419319940895021,0.328278751658131
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__Methanosarcina mazei",-1.19741001157925,-2.01088643867168,-0.454432083978473,-1.72555640729988,-2.06744491947577,-2.17951817982775,6.64323725961702,-3.02790548288185,-2.33372984585181,-2.7597315075727,-2.25657959804165,-2.65862159372925,-1.91084209924078,-2.27553802606742,-2.44059543732046,-0.101710176956528,2.21395529982212,0.816007365248566,-2.20964489102856,-0.0805957793493484,-1.76844195047139,-2.53638114678608,2.65972638103699,1.60703337577846,4.90436932016237,0.283746184122112,-3.40661279181173,5.11760292689335,0.340625036091881,0.49439103259544,0.999223749820391,0.333480035831042,0.931251590659255
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__DTU008; s__DTU008 sp001421185",7.99053988384127,8.272910159561,7.63704217360894,7.58221420031709,8.77184707616574,7.96236867684948,7.23305857861459,8.3270164751641,9.20725173699595,8.44991980063225,7.11090804282398,8.82584781409017,8.22532184027681,7.80641957429251,8.89232594402537,8.45610651202358,7.40637672219705,6.30400298426289,8.02212997226703,8.57071346774204,6.70589982749665,7.41942890973551,6.96694443307198,-0.481745186936189,1.14884267069824,-0.410357970656331,-4.86622249306534,1.9384333901604,0.327613144203657,0.164009850582225,1,0.223129255612808,1
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Holophaga; s__Holophaga sp002297665",-2.19626107163892,-2.28649451177048,-2.07874519952063,-1.94671000468551,-2.61163139914965,-1.87921977667504,-2.91105553103327,-2.66768230508408,-1.9754272790858,-2.05990848568266,-2.25821522382284,-2.39606646568729,-2.05046838157075,-2.17259680979528,-0.227025949968528,-2.60871757319547,-2.54065594921148,-1.93141667612474,-2.07225887186975,-2.93876670453992,-1.62119874347124,-2.33636512644142,-2.62517050430671,0.174054742005188,4.21195206438483,0.0352677281378101,-3.36776211680785,3.69192889746609,0.482059286014651,0.712712702579843,0.994978115138611,0.700279101219987,0.981287686476203
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__JAAYVZ01; s__JAAYVZ01 sp012516935",-2.37331952041168,-2.03941890934,-2.57798992146616,-1.56580728267245,-2.74554673586039,-2.46329189956088,-2.84759640818383,-2.76210907593032,1.35121633157676,-2.75232192910585,-2.77587696263691,-2.0014398752182,-1.76516294146513,-2.61600169666352,-2.54148460482876,-2.49918558351651,-2.5756415573002,-1.94827863594291,-2.71438791194798,-2.72765424547563,-2.19578715847536,-2.72793170279187,-3.22321229563449,-0.697375912003286,4.46924883526768,-0.119484830666559,-4.31290716375145,3.29389918207955,0.42433698918426,0.628494541624134,1,0.610909794539826,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115; s__SZUA-115 sp003231035",-1.51406125397404,-0.839520634135972,-2.08640689297175,-1.31074925351381,-3.21924914045445,-1.57819451170995,-3.08207306324665,-2.85074462269442,2.52788200698206,1.56286676322992,-0.15595936287701,-0.0344608359452945,-1.8945832346238,-2.1717632876186,0.659658468021734,-2.8558558764682,-2.05919390439951,-2.52983059860009,-1.93730082860397,-2.31675875242768,-1.72421430389273,-2.25946071280678,-2.97467230618721,-1.4052869694107,4.27778500765439,-0.273367049405966,-4.52398454192789,3.10829287819129,0.36562502946693,0.450211900639291,1,0.421812079174695,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01; s__",-1.87795776089678,-1.45240511365084,-2.23434016548698,-1.55044326806094,-0.39500919003857,-0.148611228172802,-3.52816632053143,-2.93868527579243,-2.22210716195613,1.74568662075663,-2.70843434845018,-1.77892063764521,-2.16696656467107,-0.0801163968815679,-2.25453822690811,-2.72866036014446,-3.04372378923079,-2.64374629999372,-2.36751558096485,-2.52571702705896,-2.11348280052935,-2.56166690308587,-2.75956125499409,-0.888802331559964,4.36409928449757,-0.179384171822629,-5.29346391503152,3.26059101863626,0.414976616821549,0.540465101335668,0.998790062644885,0.553640933853298,0.998284802410884
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01; s__WYBL01 sp011526565",-2.01246787084267,-1.62655073106662,-2.56298777117003,-1.98031011511015,-0.336940890493612,-0.000125805583438776,-3.33479554404567,-2.96888341798016,-1.79486616000471,-0.410131918419173,-2.26020576706144,-2.38336651033859,-1.99231798337824,-2.21970224409528,-2.80588536220702,-3.14379774265356,-3.20367486050233,-1.80333418712943,-2.18723122240028,-2.83333707181782,-1.93609167770823,-2.70617134690048,-2.7354876011504,-0.897447303412733,3.94591239282981,-0.190647376976982,-4.8239518725399,3.30007443844812,0.412500018364311,0.556878722783579,1,0.530517107698803,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA11600; s__UBA11600 sp002714165",-2.1828167174795,-2.08242652221907,-2.2617396134978,-1.72334370647095,-3.03950345484777,-2.12639251447686,-3.54565011884173,-2.68121592331322,-1.63740941061252,-0.283307129321804,-2.48111757380642,-1.82143906221504,-1.83388266018257,-1.74823074955407,0.862365491214614,-2.43356768906804,-3.19612690506294,-2.3728622164341,-2.28324347188326,-3.2018262904247,-2.16970375358459,-2.79335479007798,-3.18970218543602,-0.282810156367518,4.17553869946023,-0.0483935148627258,-3.9037350712996,4.14871632791575,0.471875005740203,0.716484109399857,0.997580144138699,0.746517535289788,0.991868854332704
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14; g__AC-14; s__AC-14 sp005888325",-1.68332879804477,-1.65748226595216,-1.69300394433203,-1.14911009962221,-0.31887804679689,-2.33697806267868,-3.68669194092717,-2.51907970814748,-2.57821230423627,-0.525070425811535,-2.62072826761269,-0.0735173481685116,-1.99443608282492,-2.2493753165342,0.747704464527725,-0.0784106827414224,-3.18777063519721,-2.01771273703807,-2.89584617065151,-2.20840926062025,-1.93092797923001,-2.44871578602756,-2.66289173159316,-0.00718988709428814,4.22013317863952,-0.00298591546713748,-4.34518456013793,4.58813054448788,0.499219968956955,0.755864836658979,1,0.778964384106606,0.996409079683795
