"","rab.all","rab.win.BSH+ LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma",14.2950832256775,13.6684411206912,14.341170651844,14.321511597576,14.2486600388272,17.8181748274887,12.6202666499885,15.5474396533227,9.22450194307671,17.2053209120169,14.2692245445867,14.338115436461,14.6808503760068,14.9298894887548,9.66899594395204,13.2974163523634,9.4342847615129,14.9087764725278,11.4274344541424,11.9777339333792,14.0108841869164,16.9446635217973,15.3085282857427,1.02779145787052,3.44060134130036,0.332480888351097,-2.66880266604601,10.465449973491,0.370312528288052,0.27253139886407,1,0.351503807724783,1
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Natronorubrum",14.2865292052953,13.6465522222755,14.3304204549536,14.3119046604005,14.241584142869,17.8112240717899,12.6128778254569,15.5383868861755,9.21657543447804,17.1958538510344,14.2509230364565,14.3258062027886,14.6726866155399,14.9177155668898,9.65068780569053,13.2859535288071,9.42504580978087,14.9028105928864,11.4173173819638,11.9704483102506,14.00064419234,16.9392341367265,15.2979748652874,1.00496178745493,3.48586371012696,0.324115324734125,-4.09402962083131,9.54824092331591,0.361934507692328,0.273274855867849,1,0.351798199381888,1
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina",-1.44900256314927,-2.08461776596296,-0.625542378351026,-2.42067145446048,-3.12512781929008,-0.472444548976926,1.613898612521,0.629182188434871,-2.90540157743931,-0.327749289979156,-2.407614451091,-3.00177241376262,2.38845630683146,-3.34535267399112,0.0695042584454377,-3.26695905240146,-1.88834410472795,-0.302535111651364,-1.56645127724502,-3.30335808205362,-2.38622275882147,-3.02777600092652,-2.63283007736955,1.3321634689435,4.27025754701808,0.247057595391935,-3.02809999935453,5.35326594670535,0.369734817735309,0.444261562044089,1,0.377030549752106,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__DTU008",7.49744151475113,7.5540657607683,7.30923635299141,7.46723301959579,8.54954900813002,8.09410151657658,6.99952822122296,5.94123115353152,7.7487851863176,8.1982443222637,6.47009412032431,7.13512072329576,6.53843271448044,7.70585426204517,8.3760896125761,7.70202035380105,8.68082465708366,3.51072885550091,5.10293931122542,7.50298840540428,7.50021169001206,5.07561686627334,7.54515844165203,0.0384679758836608,1.91911782775701,0.0171694923051738,-4.01499982051212,7.786988284685,0.490625001908018,0.476211122530346,1,0.924062428960359,1
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Holophaga",-2.61539376638951,-2.7246689696477,-2.51081814801121,-2.70435927881517,-0.531192613691427,-2.59640306619783,-3.21957020037579,-2.76243894149092,-2.53871117549233,-3.04695104793982,-2.31006748332611,-2.47676719791098,-3.81270195611941,-2.58727453369927,-2.30861960461242,-2.75102540869392,-2.24800653207274,-2.93013898131356,-2.46148719844398,-3.00274319001156,-2.91498689087114,-2.97284185916977,-2.99351465149025,0.395845164625921,4.33765629928203,0.0679981286016628,-4.14591162027779,4.20780684941953,0.459375008320096,0.721472509242021,1,0.722603393123904,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115",-1.97721431367426,-1.5282432434442,-2.39253606719519,-2.77890504355765,0.255807473088502,-2.63597180128278,-2.73814567517978,-2.81758827894128,-2.5918081114587,-2.65630601255331,-2.09571472470391,-2.70376062349764,-3.01766226094263,0.589642108884751,-2.14321325520704,-2.95823025903541,0.481182592972534,-2.63201537789787,-1.5392146708273,-2.54255887254123,-2.67127217648124,-3.00604737697857,-0.250218869179408,-0.728351112597556,4.19147012639467,-0.17640741816375,-4.5552228257432,3.71553544539883,0.418750016978683,0.551448506318081,1,0.524120326268159,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01",-2.12961311272831,-1.78211030653657,-2.41157435007418,-0.34121880590976,-2.69346312608529,-2.88956286760218,-3.36637633018975,-3.34460507814758,-2.30681672985138,-2.64829361639673,-1.62627740414135,-2.74320223400592,-3.20356277598133,0.388735611687917,-2.40941357285673,-3.29518880006971,-1.58323715820581,-2.96606894901718,-1.79873348613279,-2.57019473163273,0.531122166475125,-2.6911007280048,-2.61589424258066,-0.61542843120421,4.3592387354029,-0.123099252014031,-4.11365728129126,3.84144139273606,0.434375013585459,0.62266389947693,1,0.593647838229882,0.998887214758925
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA11600",-2.49813899071872,-2.52794914279285,-2.48274195499289,-2.96195364787102,0.23869677460492,-2.7230470299509,-3.10740963977157,-2.69347842639169,-2.09750623209557,-2.84481288057401,-2.18271472241083,-3.43296248445388,-3.45617580750297,-3.0537557096813,-1.87300923142818,-2.64180568619944,-2.24549143566162,-2.79698870654371,-1.93234347456782,-2.4525984916519,-2.79825754082104,-2.71857210805914,-2.54024711247792,-0.0280153725791479,4.21073061311784,-0.00538717631473285,-3.91813310142138,3.47860014271234,0.496875000635807,0.720006474905105,1,0.712734210932257,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14; g__AC-14",-2.16617438965327,-2.32687330705082,-2.02098898225018,-2.84052714309553,0.29107879749648,-0.374159473631789,-3.16459872896722,-2.09727342661674,-2.32970296865038,-2.64825006357205,-2.30921177197003,-2.97260151959077,-3.95069894821215,-2.71751390457031,-2.08978324751589,-0.456509913899279,-1.95875932142748,-2.67650624627617,-1.92738056770645,-2.83751435190384,-3.05077243262952,-3.00869218753234,-2.48369270382464,0.0496329948166334,4.17277929588102,0.0102264715897876,-3.73826056659632,3.99657338660515,0.491419658527015,0.728626974824453,1,0.747936974983221,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__RAAP-2; g__Bog-756",-2.43230807577505,-2.42137748329178,-2.43560448604787,-2.50773884035135,-3.50050450499404,-2.72523888134623,-3.40022264965358,0.343823800324772,-2.42320089950944,-3.16029797200463,-2.39589584821558,-2.36920349908996,-3.13822771275278,-2.48818941823685,-2.391753516817,-2.65986912742867,-2.18681250576696,-2.4578946458896,-1.71497821148244,-2.74717363263817,-2.26641381712802,-3.0141279977379,-2.07672476063753,0.117083163841427,4.26954313699556,0.0205168760738482,-4.06367184414897,3.86631364395322,0.48750000254472,0.772146729445968,1,0.753934412143584,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__SZUA-35; g__CADEDH01",-2.52162416713112,-2.49180754995269,-2.55516536570951,-2.84879540375205,-3.37695525322905,-2.98968016899547,-3.26286792189731,-2.88406365596488,-0.256366489190318,-2.95066664618325,-2.37181158612178,-2.89573211850343,-2.93352932916926,-2.52170348143384,-2.01630189753888,-3.29298455657025,-2.09164112375512,-2.6699668952421,-1.21649936130014,-3.32824286824623,-2.85058786806563,-2.44646142329794,-2.42881915205169,-0.160292321142887,4.22983050013366,-0.0288978779157224,-3.83525366238363,4.16450258060142,0.485937502863285,0.710966172966038,1,0.727825398769188,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA8592; g__UBA8592",-0.548535815261825,-0.339060974573181,-0.773334012110062,-0.403190424698479,0.51137109698128,0.348549531843862,-2.94832102212483,-0.315003787628726,-0.192082960987626,-0.444698487277602,-2.14658013755848,-2.6719230073553,-3.29246319284566,0.503449268932101,0.785075880946307,0.28473105239779,0.34052792673171,-3.20280598591705,-1.61901506427951,-0.644621186862357,-0.4204105031497,-3.22308432756601,-0.290020384287464,-0.377220659983136,3.28962473132526,-0.0931873437761681,-5.59462508724888,4.5029841659922,0.4414976719363,0.648381258943918,1,0.613236681082076,1
