"","rab.all","rab.win.BSH+ LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae",15.4122039894814,14.925750447166,15.4817644858251,15.4242254773234,15.4152896586611,18.9650239371508,13.9083609361285,16.9135892614473,10.6577841934237,18.3800306920365,15.3041396670925,15.446752607179,15.6818479488213,16.1347928761985,11.0136251505937,14.4910500862301,10.8825921776441,15.8799941805919,12.5069623827815,13.399855746998,15.3228297780446,17.8101362793792,16.4997937122362,1.1367537031033,3.50792455193891,0.349979377867769,-2.84443935529059,6.80888685877942,0.36406252986395,0.262688244271969,1,0.39573782448202,1
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae",-1.23085309712381,-1.96713612254479,-0.48435132934762,-2.33361241451018,-2.57146651189001,-0.356808574110055,2.00416251607014,0.958704767303253,-1.81722574855084,-0.105813985873413,-2.17095400061932,-2.61951378247666,2.40999714948286,-2.93575818986875,0.257969576341075,-3.03438534677049,-1.85270281443254,-0.478500403138057,-1.45351571648511,-2.48516547837586,-2.58641379188993,-3.12332489187159,-2.12917659100013,1.46319360534161,4.03518938610464,0.333193996515071,-2.82993671989665,5.42238420550816,0.351014073722635,0.401688066674081,0.993654166861241,0.365383262248587,0.992151176754747
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae",7.75030185137851,7.82400221306153,7.43717653471518,7.58866345396493,8.71953949714913,8.22422066942122,7.2675704416891,6.32771032862067,8.19533305270719,8.38783472650444,6.53210567856125,7.26220092770124,6.56413159052474,7.93928935033804,8.72596545989201,7.90039366590459,9.14228546881811,3.40973495815932,5.11259168828363,7.91346948570794,7.83363641849711,4.95420002995819,7.75057618728315,0.0216724646321218,1.8830379908694,0.00929557436875854,-4.01012158918108,10.4896776340107,0.496099844784822,0.526060274008034,1,0.969256749442508,1
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae",-2.23484079931136,-2.36747619262414,-2.17263474640647,-2.58473513067701,-0.317423222996325,-2.67490641284081,-2.4564195627044,-2.25478369713855,-2.63946069769512,-2.07759992829698,-1.52048829577372,-2.17352763063817,-3.16716611950707,-2.62815694323561,-2.60815669538281,-2.3586651993714,-1.76167106331248,-2.70178019291596,-1.6434152475243,-2.05696114616312,-2.0296178270779,-2.905021550639,-2.80154904652447,0.118845883980727,4.16083510720262,0.0365605545971441,-3.50793030109092,3.59664439338039,0.482059286014651,0.704140403756594,1,0.713488245983892,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704",-1.81600069155026,-1.40563877812725,-2.1499627856792,-3.34331071085392,0.740192725165628,-2.79357993731884,-2.50058806956587,-2.05892790673803,-2.48586286634489,-2.34047517822265,-2.15327733246516,-2.06768039217949,-2.71290680064271,0.712053927654363,-2.24659005043225,-3.58962179773084,0.764606989405268,-2.79815027726997,-1.33088838769234,-2.61645233138726,-2.83448035228336,-3.2592218268654,-0.252059769960459,-0.549543433990547,4.21155537067731,-0.103396080416157,-4.99126335631595,3.65853247511568,0.435937513251067,0.635905947069174,1,0.608145506776505,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336",-1.85886550479054,-1.3654672028117,-2.29392278384936,-0.236789731935211,-2.99963763939127,-3.0681737647099,-2.88240745958225,-2.51625011118727,-2.44895782758666,-2.3584160258114,-1.82928304455139,-2.57536853295574,-2.63130359970806,0.408068443152537,-1.56538902190472,-2.94511562751094,-1.19507949250026,-2.71659331620734,-1.41156820419986,-2.16202877882653,0.781871981318865,-2.84803551757003,-2.3029673361444,-0.986057632517863,4.21379861975402,-0.186041496958938,-4.49173845719512,3.71143580747167,0.392187523004041,0.542092650540959,1,0.488349160514408,0.998080238260192
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823",-2.36466987852043,-2.43976495191774,-2.28587497471402,-3.01108532229715,0.734590382493861,-2.86484379870009,-2.9953052920914,-2.4670064652909,-1.60807266756638,-2.75498657065182,-1.95457768599917,-2.50760216435252,-3.44300566289573,-2.61093251924056,-2.23743020012156,-2.60853173876342,-1.7188176225828,-3.03585853255044,-1.91900007867987,-2.23680005461793,-2.63035835485445,-2.79774310835948,-2.46923417021583,0.183442165292799,4.14855471193827,0.0316197122869564,-4.46059572146752,3.76950195420042,0.481250003820066,0.704452022866167,0.993058740110698,0.717582074465782,0.993306374353201
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14",-1.91955163457489,-1.86015253866212,-1.95513659986037,-2.96011696096623,0.488813171771628,-0.28878153214335,-2.94083703438025,-1.94877802381287,-2.22517980431855,-2.23378780260086,-2.59513719003135,-2.72584053744177,-2.92310871644757,-2.37646069106677,-1.77128690762555,-0.28861533846824,-1.4220200485249,-3.43915029836159,-1.26666849481983,-2.23297969754937,-1.94535943393257,-2.44777844065576,-2.66833709030074,0.0710503082383447,4.12027105955076,0.0129703822163487,-4.04721992410399,3.99503856042,0.491419658527015,0.758092804948455,1,0.718298898276646,0.998513802072057
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__RAAP-2",-2.33369576541415,-2.42054267913672,-2.25776958265743,-2.47277683314048,-2.10170021881537,-2.32670623438318,-2.75220771578116,0.992685101669304,-2.40545291560791,-3.03137272116835,-2.37814030247934,-2.8057658009815,-3.03831733462012,-2.74743417635269,-2.06744784797946,-3.02722642150822,-1.37581116589818,-2.70298663348166,-2.0102011949325,-2.68195653797271,-2.20683024158371,-3.05874231398247,-2.4455701122297,0.261809944274878,4.30022191566182,0.0534140856393078,-4.49723149895108,3.30718095853775,0.479687504139417,0.737144723929906,1,0.737664389113209,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__SZUA-35",-2.39323500833374,-2.27264958245004,-2.5013118880765,-2.65965460467184,-2.73659940721116,-3.09632956464331,-3.61590750045108,-2.53443526048495,0.381604292472408,-2.72084258735717,-2.94133630808179,-2.29705114706749,-3.18274677498218,-2.70207468850476,-1.78163714400873,-2.41384437218872,-1.15677500303971,-3.05774944421527,-1.24922602351572,-2.15045581559359,-2.50061486554239,-2.60553660618769,-2.56213633271603,-0.290414268344369,4.14390005653174,-0.0568649631644254,-5.643080860818,3.36592815034967,0.467187506704589,0.703502001889669,1,0.704572601837018,0.994808854313256
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA8592",-0.334530243551191,-0.112277510831182,-0.584584891787028,-0.232877003425546,0.587687975184737,0.482115183657598,-2.71395094989871,-0.172662157623272,0.413500473771832,-0.291113943072029,-2.29258504040996,-2.87957603715186,-3.05514899837692,0.595187067480452,1.09897038992604,0.464271590015136,0.819947205477979,-3.48473088749014,-2.44021791026644,-0.100081581889633,0.0690186103833312,-3.28139910633294,-0.0547728838925909,-0.532509896015521,3.39502051758635,-0.118923099856164,-5.1027458806534,4.04363479244776,0.421216865059233,0.659842304962725,1,0.600447600483881,0.997810879619606
