"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ LETROZOLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma; s__Halobiforma nitratireducens",12.3342454326868,11.6373834519675,13.9190877106863,3.03206503339952,9.31646171340457,15.68642892205,13.738005016461,7.84254603233549,12.4209664313479,13.8282577318709,11.4264644946798,11.8596221136091,7.28788295913623,15.2637865615783,9.93061491738823,13.5996742564059,9.64269625130635,15.1511111866975,11.5449736893931,12.234287781292,14.2737223773165,17.2556622219752,15.555053091095,2.40887794856063,4.44987806562909,0.558774906437005,-1.7079734624182,8.20306058370186,0.290625051655215,0.0704521947295654,1,0.0892383061984456,1
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Natronorubrum; s__Natronorubrum sulfidifaciens",12.3193860005332,11.6077128016291,13.9094668208098,3.04718825423349,9.32597225745256,15.6804042388974,13.7302266889565,7.84259967664783,12.4077422551234,13.8216185302734,11.415185900065,11.855845642109,7.26532301319417,15.2526649608288,9.92415948934767,13.595632656441,9.65423730183246,15.1419357482524,11.5295288858286,12.2225700267891,14.2644965639937,17.2482954142196,15.5466871167946,2.30884762084965,4.36645442199501,0.497489618381782,-2.08343475542166,7.59656262836697,0.266770731283925,0.0703992621215941,1,0.0894410228896491,1
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__Methanosarcina mazei",-1.93195440696752,-2.07081294630119,-1.83416140718839,-1.79891414001622,-3.23845163333453,-2.44818923625532,6.54978744564163,-2.42615542408044,-2.02192413078148,-2.63274804482761,-2.47125373794633,-2.70920619379241,-2.05006692565894,-2.57732875090576,0.18527510607432,-2.62166025480809,-1.82643841922714,-0.172639317340234,-2.00615292093041,-2.52782614268306,-2.75843791785059,-2.49767915147515,-2.36595267978192,0.218168454548524,4.88245740191628,0.0365714590528012,-5.13142173106689,4.17940460689975,0.478125004459011,0.738418936985136,1,0.728682356729957,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__DTU008; s__DTU008 sp001421185",7.93976384715821,8.20297834079184,7.80827946020031,7.52327334677388,8.66711922534004,7.88518393174422,7.12012653451701,8.2551644219487,9.12919607133076,8.34258442367482,7.03515521768715,8.77063550145639,8.14983668351244,8.02499693024255,8.6469639457707,8.00097412541662,8.90159207151257,3.74655402215428,5.22179069350015,7.74807047669764,7.75533173673329,5.33226336049541,7.77509605419865,-0.492239242161016,1.59038624000755,-0.269274302896177,-8.13992985248659,2.25888791778446,0.33385339201401,0.125580911324375,1,0.239671258984823,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__JAAYVZ01; s__JAAYVZ01 sp012516935",-2.24005969036334,-2.21390155120421,-2.25595873456846,-1.9418055173332,-2.82319645648496,-2.48569721057431,-3.10807738302526,-2.56532116273385,1.12358757920962,-2.87610877268031,-2.47985977152523,-2.36878151802793,-2.54976184885461,-2.43025245494368,-2.07266246615788,-2.58298947057511,-1.63551531519438,-2.56078454986649,-1.36473403843167,-2.04173994852439,-2.40523077592601,-2.62567492428504,-2.68223447462192,-0.191396481565747,4.25705450930695,-0.0369032897797598,-4.25652114752167,3.61024296875859,0.485937502863285,0.762433211765517,1,0.785219086254303,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115; s__SZUA-115 sp003231035",-1.15239263478415,-0.899807876593574,-1.44435504188188,-1.91666702265247,-2.52231270397567,-2.50815724533309,-3.56684901564122,-2.55790294426668,2.40892417710503,1.39789296550613,-0.186359433695495,0.0289710502498668,-1.69483652004571,0.621769632985179,-2.41255786697169,-2.78151744677599,0.668889114782123,-2.65801418099909,-2.22840866102262,-2.64397657951811,-3.13711830297541,-2.59536184361719,-0.0759943342595566,-0.578609472115806,4.23684139433653,-0.109244688154124,-3.82374317981472,3.84633951447596,0.450858044385367,0.669287799408223,1,0.633123044718439,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01; s__",-1.54377497995264,-1.36548718994474,-1.69956193814412,-0.987091043080287,-0.325503146304412,0.0854384846202247,-3.34998424417905,-2.92802801346574,-2.30628955429052,1.66372578232899,-2.56222074780304,-2.2859751027968,-2.21669604925221,-0.00394116998987393,-2.58242970759703,-3.13080774265875,-1.63433371362179,-2.38710759735996,-1.04856252236967,-2.76022426157244,-0.103888419317267,-2.88279352798541,-2.67603357473512,-0.608381119560542,4.10456189903508,-0.120776235321525,-4.35387767632933,3.54263886284361,0.43281251392068,0.64878704321494,1,0.66241996200394,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01; s__WYBL01 sp011526565",-1.6729807106675,-1.64436548432726,-1.70983507753098,-1.94608455281267,-0.464510957278591,0.0704963083919932,-3.49419053679477,-3.19236407953329,-2.21764872409191,-0.384088805888334,-2.30007750299646,-2.36905754546585,-1.96871299905351,-0.253383443804651,-2.23630605984868,-2.99895867993839,-2.18106388850828,-2.72996440723001,-1.33431827614897,-2.76173125979119,-0.135949904505276,-2.6890294020905,-2.36820068212413,-0.150506950933996,3.9877241202592,-0.0315237116587419,-4.21071812904707,4.01501816228175,0.483619348099621,0.745604900524072,1,0.765480637300006,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA11600; s__UBA11600 sp002714165",-2.20959316818317,-2.20202833087196,-2.22560840776236,-1.65047535234845,-3.23850804194286,-2.38729330180904,-3.41362064358515,-2.88541173087686,-2.11322364581567,-0.255370003877921,-2.69442506247808,-1.76787445366934,-1.88980128105862,-2.61850553457467,-1.80404993005718,-2.44025621265565,-1.45588605253976,-2.63163843256749,-1.86764021050142,-2.409162987116,-2.28533088123229,-2.183769823512,-2.35302146870448,-0.0865348324195239,4.20886722937885,-0.0225862874869926,-4.00258218145516,3.43683106077841,0.492979720612874,0.741287597965674,1,0.761995297175735,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14; g__AC-14; s__AC-14 sp005888325",-1.88676415867991,-1.78844051812563,-2.03810640867199,-2.06489295978403,-0.913795640818746,-2.6992487556469,-3.45056297817254,-3.18352331078713,-2.16305126134542,-0.511935993082982,-2.78471577820698,0.0851271650189354,-2.82576166694038,-2.75339496274423,-2.31005195367609,-0.336542873984326,-1.85087524812191,-2.64371022852677,-1.46544011501876,-2.47741299481955,-2.30522659628123,-2.43591702182547,-2.78342398066203,-0.18375100934052,4.08048867388069,-0.049190477311094,-4.16676005268021,3.53707657207113,0.473437505419445,0.724186706677777,1,0.756401686548745,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__RAAP-2; g__Bog-756; s__Bog-756 sp003138855",-2.15705996721089,-1.97536857638445,-2.31006921088819,-1.55432285501412,-3.07304712418459,-3.03870902822454,-3.5031845300553,-3.4923366928157,-1.97638310299749,-0.310135570488647,-2.11397552547702,-0.0652068580517806,-2.39571028385598,-2.54399490125283,-2.49162164169063,-2.42229591546497,-1.86685201890501,-2.13235217206528,-1.73399337831257,-2.12946480702787,-2.56014006492294,-2.70009180535844,-2.26842729155983,-0.211918481866107,4.14891503691853,-0.0390140346332213,-4.19050560925277,4.23823493058502,0.471138851426896,0.7525355289321,1,0.716347760695187,0.998023853565165
