"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ LETROZOLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003: hom",5.10855202068895,5.02329593322319,5.2433510446094,4.76947818065467,5.90032459909156,4.10492999171762,3.21629151352154,5.0989328794827,5.05808211070932,4.32291517486433,5.70982816729198,5.02061080901252,5.737635719284,5.00498356607015,5.28937397766408,5.17261114144589,6.25027604800776,3.3583701764651,5.03712260322084,6.0564066263919,6.14096240786634,4.05871821147736,5.45526989174549,0.303911747299669,1.20153836042158,0.216358149016405,-2.75120807553344,5.98235491048742,0.374415003784766,0.478140447285749,1,0.335665773371366,1
"K00005: gldA",-1.52423133804949,-1.60796154888507,-1.42264464296233,-1.30163862841139,-4.55058267556363,-0.164104482079814,0.431751710864503,-1.59800760674625,-1.5409249901747,-0.896181601039887,-5.19355333350761,-2.18286783986427,-4.83753246012523,-4.73356295684894,-1.17194177248933,-5.42522887874654,-1.82418845772456,-0.270980381829235,-4.33741709772128,-1.3323962607489,0.133262474079221,-1.31526819448248,-0.817028016554437,0.149010498280392,3.22696783225566,0.0410469531877141,-4.03271180263887,4.32506638929274,0.475819037677096,0.826974286782486,1,0.788649032372426,1
"K00008: SORD; gutB",2.01132455880131,1.49479254690156,2.28203699964074,1.21079643784591,2.4163614076317,2.34768255667082,0.488430674232168,-1.0705045126856,2.24053181759485,0.118683246310864,1.53490418789267,1.26724958260066,4.30154982071948,2.0885811834144,2.86862936296939,4.35399788005416,1.33958894416123,0.448194825915241,-4.230520470154,2.3243194797998,2.43855005006322,2.21975862438631,3.85632801783348,0.622686251574597,2.2559829154944,0.215440051919459,-5.15886348843196,4.67772435184445,0.352574135711421,0.757287785421849,1,0.317253651437572,1
"K00009: mtlD",1.01631939472358,1.00405055269361,1.04873714340629,0.991977398623565,1.31940283852881,1.74128927886351,0.308982044131213,0.404901515146483,1.23622910717614,-0.753516623229551,1.99120684894449,0.439303204337497,1.41245220620683,1.20598348980734,2.10552817051028,2.2890642210106,0.773437249131973,-1.07258690307075,-0.736736673819737,0.53759681309845,1.5486965739848,-0.97061916207001,2.61940240185794,0.0812897560246491,1.72084688245077,0.048163043555977,-3.62243085444604,3.54586122117774,0.475819037677096,0.832503261291507,1,0.843496033281734,1
"K00010: iolG",0.184602996839745,-0.242325611865537,0.666133618002924,1.92465948497839,1.07110028043355,-0.202543404919732,-0.765788999787992,-1.63591607669265,-0.746145903053874,-1.33769697801217,0.00823991515962064,1.85967215743655,-0.132095446297312,1.36514876328825,0.715840314814386,-0.101893172585141,-0.129513425611883,-2.57744882738193,-2.16837442819834,1.0711917746645,0.557947432587447,1.09605941600741,3.80341033019425,0.543233026576381,2.40259455311675,0.174932348217104,-4.34593722531702,4.70402623999434,0.419656802998231,0.628490092111641,1,0.541426766925026,1
"K00012: UGDH; ugd",3.62985240325646,3.31953763718718,3.93885626545594,3.61008593324634,2.79971590039269,3.56353709764263,0.922450933725325,3.59188786258816,2.89624596305432,2.87187450419402,3.08954358330654,3.81551303919736,4.1717425890065,3.91710795482868,2.47365985022194,4.95532534922034,2.098315945979,3.91911593051074,4.58849449722531,3.37740587065639,3.78010259191472,5.0039747784023,4.52289806059633,0.780177366396683,1.31330026738601,0.50866640168311,-2.47783416537844,7.84587914922447,0.260530484241952,0.111307781436003,1,0.0799794729264544,1
"K00013: hisD",5.11815339965023,4.95142290316939,5.30436282042709,4.89849566902245,5.49491798530904,3.67990971980052,3.16190917927574,4.99467026275453,4.3150328623789,4.26401588613245,5.31728233032477,5.19890140195572,5.45431166529763,4.07395419438571,3.22352000179217,5.17768554483288,5.59884027198302,4.17724699558003,5.09321147561903,5.71327651146371,5.80162030499324,5.39564484271649,5.73435163659891,0.364433675213196,1.27693336306076,0.285363565513765,-2.81491743534473,6.87161089910809,0.347893949752309,0.412188350891318,1,0.237490933988612,1
"K00014: aroE",5.14443762283983,5.10418373381162,5.24984848915406,5.83619156583317,5.26421845021331,5.08352918512492,3.40098977116476,5.9667787302069,4.81602961476339,5.14033152345434,5.24881421487233,4.96155759447768,4.83626402423458,4.24558191090612,3.95142135672545,5.09390290697765,6.03969988245638,5.63521324761375,4.78144801804814,4.98020279539885,5.36293470024184,6.05366189495185,5.61863423512502,0.112972121969111,0.991518288785128,0.123817787175812,-3.67321290211692,4.38220378335813,0.446875010931708,0.710657328789604,1,0.644713246795774,1
"K00016: LDH; ldh",4.30791172315031,4.22657007107488,4.42015574499676,4.44280680735343,4.53633278513468,4.20171667269771,0.949005050879418,3.28607300368554,3.65776833796435,3.62059525365353,4.25141276251239,4.9579922412115,6.54227510658882,6.54925840925943,4.596372666469,4.88477634042068,5.01966131415347,2.01742592810384,2.78332497104386,5.33947222936596,4.20934695492909,3.04809209504909,4.27643219238619,0.275421947617986,2.08599308420337,0.12876636658713,-4.15639909193375,4.71519890332896,0.43281251392068,0.727262798753106,1,0.615140120618546,1
"K00018: hprA",4.4474280031922,4.34709779142206,4.72363938900054,4.4514756207635,5.45059364917031,3.63932881637264,2.7305990192652,5.02548681992941,3.72689573166543,3.71999207793856,5.17947101656334,4.20668406787258,4.81211378304472,4.19328268956578,2.9509705086412,4.967167916825,5.32167871786024,3.27028594167334,3.69199779796009,5.22393092691299,5.65056246860872,4.43156365698526,5.22670000060765,0.218945344127108,1.33794993859541,0.164339933796403,-3.11871538704905,3.74697335800598,0.429687514593698,0.632224534234555,1,0.54575519536578,1
"K00020: HIBADH; mmsB",1.65667861728723,1.48409501960725,2.3009381630098,1.58919251099998,2.04135045658305,1.07200215939114,1.35125846593593,-0.703608877536725,0.576645855619704,0.736737508392793,2.27876690599467,1.99350748208221,3.44442504525281,4.57420022355551,3.11058643414446,3.37471256056979,2.82187231207888,0.708254235347347,1.24983551186908,1.65098558166342,-0.318839056426857,0.93773731610576,3.16071629138541,0.720232798070862,1.94022906170845,0.317738536051335,-2.212110223854,4.97149427305096,0.382215313903708,0.287985896703393,1,0.345318453798523,1
"K00024: mdh",4.74230036789186,4.94546124032204,4.15336083893041,6.20754674326195,4.38171829221646,6.0885166588147,4.00413613813471,6.84586866523329,4.91067745114199,6.03199105640007,4.57736663756385,4.98521149228175,2.35986130585012,4.01535245430596,5.0024674311753,4.24316882018982,2.09190311386851,5.67065066266891,5.26590663293233,2.97093598561664,2.81169304359682,6.23355747095013,3.86367647175914,-0.808694421318081,1.97452217687347,-0.39855827905991,-6.62094090973455,2.50094320604592,0.335413453973971,0.189018493006962,1,0.221290174608673,0.999228907215064
