"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ LETROZOLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003: hom",5.55043653085156,5.76514299662783,5.44778071431435,5.26414371643615,5.90900641086449,6.40197572762784,1.77435254760213,4.86590511583081,5.93504669389313,5.92562522633201,6.09694248310024,5.62990265144235,4.76277309626743,5.19159674778998,5.48719032865762,5.40461822654221,6.45382252704454,3.61580896177489,5.22072584038083,6.26449537667477,6.35559961927363,4.29102124342604,5.67783182330252,-0.0642638354070453,1.21520793632026,-0.0311495057921377,-4.12062566983239,4.83561357995592,0.489062502226303,0.789880948556926,1,0.955810383018684,1
"K00004: BDH; butB",-4.90195359666875,-4.90195359666875,-4.90244284889789,-4.28346724822853,-5.98463784723915,-4.28605951638098,-10.0986318865359,-4.04509562149546,-1.97549727152104,-4.9382166067182,-5.04479178237665,-4.73957373592998,-4.85804367581772,-4.24733571183533,-4.16409482957888,-5.30169319045044,-4.2034381298385,-5.81487399500665,-4.52964555534005,-5.26726677723401,-4.69021646488417,-4.97034573199337,-5.38627737029444,0.13567775065812,4.69710811473553,0.02380781209857,-3.74272477230081,3.76836528823745,0.484375003182019,0.725751922189733,1,0.744404359668969,1
"K00005: gldA",-1.18757987557601,-1.08261972053501,-1.28827837384143,-0.773709295392942,-0.513601992804583,-1.55558625672872,3.08895852224178,-4.50656618757607,-4.41921473082798,-1.14616623390724,-1.79412228388723,-0.133865258235698,-0.788120095244677,-4.23074120053053,-1.1469288739777,-4.69367823615114,-2.0448077234527,-0.133562957531892,-4.35615521839767,-1.43866195029927,0.321284442442261,-1.06504613472113,-0.479530595865555,-0.285837551064564,3.55308004053936,-0.0763140252883819,-6.02191057614768,4.26630757930545,0.455538230618297,0.60956028025432,1,0.688926374515577,1
"K00008: SORD; gutB",2.32633189257593,1.97620501074845,2.49377021332575,-0.10884247148916,2.36515974194195,3.12603952762316,0.539329783430242,-4.55355328554014,2.88623670151333,1.6657385615697,1.36900133628101,2.31157665981546,3.64925275325742,2.33360252245045,3.07767369113181,4.56487254042367,1.56255324549416,0.700121523360314,-3.99491180407214,2.52095613116631,2.58773803198497,2.49875710070536,4.09371027537171,0.655636853755684,2.44225931821255,0.182329453914827,-5.1085528776044,6.16002406598778,0.38065525187642,0.588450412254083,1,0.392160640249843,1
"K00009: mtlD",1.59805019519242,1.98912400355307,1.25154709642905,-4.16463095029543,1.19861774607514,1.83325033678682,2.53250787143383,1.18561560107582,4.3443996454534,2.51085408593989,0.298323248375464,3.22197580314572,2.15471524445193,1.44233600973376,2.30780807468827,2.49033209223587,0.899224118102403,-0.743722873463643,-0.630367501156044,0.72736092792187,1.65840082176732,-0.738897924246121,2.85681133152743,-0.654318679255792,2.25180026299248,-0.254146656393339,-4.72222333994895,5.10937674947731,0.368750028679017,0.587176662382642,1,0.346902299519366,1
"K00010: iolG",0.882890654953476,0.906483224884358,0.853985987360707,0.0890143928159493,1.02234461679909,1.86019073127736,-4.03093768681806,0.164710457287049,3.12784895804468,0.167828159744417,0.65294288978061,3.16925763615081,1.16355301036555,1.62237946032091,0.904892598841732,0.107316832575567,-0.00951701581245423,-2.29806909464952,-2.0375986891982,1.24621611887179,0.871648065356192,1.33596412597286,4.0250410346864,-0.155272151836986,2.740303728268,-0.0497838322540175,-5.3537765233722,3.54585447285505,0.468750006382756,0.819138282702732,1,0.785913329607699,1
"K00012: UGDH; ugd",4.16481061228275,4.1335984994305,4.19299993796353,4.22469905157111,4.82147430900581,3.47260996530104,0.407346276173827,5.15755649071819,2.73671221963715,4.2913105499177,4.40449306839231,4.09022182049726,3.83538859671514,4.11203414277197,2.6754795337015,5.16149953194755,2.37239907278165,4.20666968779169,4.77036570416669,3.55707780265697,4.01642084230501,5.2504767343446,4.74047137268527,0.182173985220528,1.45848044713589,0.0914067842750639,-3.52971614768729,5.945292488003,0.452418106462437,0.541664662804025,1,0.627270815968088,1
"K00013: hisD",5.5625457470536,5.57879401483513,5.52212045494693,5.48416351810288,6.13112432943456,6.24821848626545,2.48174336116495,4.78323583331565,5.69510635055006,5.70771970802163,5.75377987072166,5.21964894418108,3.94711923505013,4.24511917127303,3.37932620564876,5.38236108466152,5.79472849615452,4.4365930511368,5.29815432891284,5.92700757694721,6.0236345318101,5.63375035844731,5.96390215980012,0.0263163494747642,1.43810056602516,0.014217838643747,-4.43227875486384,5.23411238051007,0.493750001271763,0.891345456399573,1,0.953819327924398,1
"K00014: aroE",5.33820102904247,5.27242269001068,5.43075864834151,4.83298500258859,5.65606293896296,5.62395312451028,2.35101066009897,4.99977324710117,5.52477508774492,5.32421915960657,5.82155824358422,5.20154752799237,4.7132541292796,4.43140468557688,4.10665830534261,5.32862548753292,6.23357373216134,5.90201192497061,4.96704209649253,5.17048269662137,5.55954193662174,6.28928332417376,5.84511596971371,0.280619077938945,0.945487217251323,0.222430957500193,-2.89453050016171,5.94674715888007,0.370312528288052,0.366977518016119,1,0.389632643865423,1
"K00016: LDH; ldh",4.77962370343253,4.84760813052051,4.63702486177895,4.96682393555271,4.78858989715049,5.98263318002893,0.246131184825304,4.42329617329208,5.74461017449575,6.12965784035452,3.51221748520114,5.23456913404431,4.1968229711377,6.74559931656852,4.78457923596903,5.08468201692522,5.22255085065959,2.27563996348881,2.99386831927024,5.53099314532141,4.41904774169584,3.30015595050005,4.51777481248075,-0.343386561505226,1.93140988873824,-0.149519824321427,-4.13099201395536,5.44178361492782,0.429017175379004,0.944748809283822,1,0.697799225735565,1
"K00018: hprA",5.02960432322662,5.04701314433443,4.90348374821796,4.89313746803189,5.22701312088972,5.87053007274026,1.48125390953393,2.73623320841726,5.18982331239977,5.21283467428604,5.18851672828991,4.03046218973143,3.32413087851578,4.4270657436765,3.11505462918215,5.20287615154178,5.55079212832709,3.54595006226103,3.9059572323892,5.43183950818077,5.85470670601412,4.61635937193226,5.47476325554597,0.23321881590546,1.75064668145107,0.13116729382186,-4.04627941613843,5.19270489735148,0.407812519415594,0.467400687953561,1,0.45120946681028,1
"K00020: HIBADH; mmsB",2.06136191991216,1.95366926555714,2.46900253276872,0.497075574771589,1.9590019684065,3.48060127266516,3.44311032070344,1.83642692910933,1.48438592423477,0.73911796109525,0.387655262143042,2.87319535870101,2.7462536672566,4.75416289655816,3.31331836198619,3.56018664889003,3.01269087424767,0.979044866418866,1.4801516657181,1.89907219425869,-0.191417625347153,1.12720971829313,3.37520097217457,0.366155428466823,2.07413708337082,0.198939785447954,-2.67886645700151,4.20497176372639,0.408736368601637,0.563531533403528,1,0.529377682592176,1
