"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH- VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma",13.6262470625928,11.729172208143,15.4063834280917,14.7067251272372,14.1895237739926,15.8213206449386,15.6349240474095,9.27645594598147,16.2611998647808,15.8808470252521,15.1365357557146,12.8482995712175,15.666078154609,3.03721310369689,9.30337035349054,15.6002698371781,13.5031017645426,7.89534338546182,12.3980609106293,13.7910517699645,11.5789564665781,11.8597837465736,7.29082037924021,3.43257445129769,4.22873440112581,0.83785213701995,-1.53462665822486,14.4512118524461,0.131250164487989,0.0122160506790159,0.99771140663304,0.00414558593496287,0.83551274573373
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Natronorubrum",13.6288885433399,11.7147077634686,15.4098175525332,14.704207318391,14.1850354644723,15.8113565878645,15.6249322788217,9.25557940023663,16.2451188526651,15.8715790018339,15.127477702519,12.8371139230361,15.6562958387958,3.15810238701112,9.30732134523896,15.5868720783891,13.4989540686707,7.87130813342451,12.3844530554461,13.7805054352745,11.562384974184,11.8517923021475,7.28646524593714,3.44602286207229,4.21504671673179,0.859886731732112,-1.19715650768447,18.5512763179392,0.131045406093523,0.0119727866698239,0.997582295018168,0.0042754869936565,0.836362949256933
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina",-1.91909954526338,-2.05974151760647,-1.76490705630372,-2.78854966298804,-2.34219163608934,-2.70956346660262,2.47275151880563,-2.34393649889422,-0.139999328745253,-2.63083989331503,-0.626849855486604,-3.01948475473875,-2.91736130606836,-2.12804249518505,-2.63516561087191,-2.67583377120173,6.32475387673433,-2.83530935590294,-2.2991399750589,-3.2071721074795,-2.02809303192916,-2.22544089865454,-2.35574774055612,0.375623192026438,5.22645551681621,0.0614498544161093,-3.80923844441642,4.36136815055803,0.469578789344162,0.812153330872221,1,0.738423329282946,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__DTU008",7.98192025583875,8.21440977529812,7.90885799051215,6.55792088068959,8.69699584111736,7.252478083253,8.07364367949839,6.8107158151252,7.93818716151467,6.46411170885203,8.02440769547545,7.89294459947198,8.30887996570707,7.51111295602055,8.66189788096495,7.79294779890712,6.89760601289158,8.27972741106246,9.11388124341428,8.33716325255055,7.19482180471598,8.76662969885501,8.15296376372635,-0.431913303096784,1.14890662726648,-0.424622464328146,-5.47434587436647,2.26371960559069,0.319812834510979,0.187264539703802,1,0.175181557026565,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomethylophilaceae; g__Methanomethylophilus",-2.46587956870717,-2.52645819065108,-2.4025739116177,-2.21370519275262,0.260569574073978,-2.40371813907688,-3.12099759695853,-2.66978524218338,-3.32453819235948,-2.32237265949503,-3.01474107537309,-2.8534450290686,-2.97575480871502,-1.47552692818522,-3.51729910373815,-2.9722352292891,-3.66637620194522,-2.84387678337401,-1.84482633316675,-2.37265098735462,-2.82021865358029,-1.76693909759243,-1.95708317522358,0.194783655018091,4.4370691077451,0.0336321441574887,-3.71239990379455,4.44968126372968,0.480499223929895,0.730646578010319,1,0.73684269726017,0.998544876318591
"d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrosocosmicus",-2.37788383815666,-2.49708971437745,-2.20808029358271,-3.02049894021948,-2.45104599222928,0.956824467807964,-2.24122814089844,-1.95863304079607,-2.59254132231144,-2.78639316980647,-2.93758634295999,-2.56655614809274,-2.68722874183953,-1.46659856700589,-2.4471097765604,-2.73561090057521,-3.47018361472339,-2.9429045311445,-2.18213559896348,-2.51157186247569,-2.4340663518298,-2.15769406242946,-2.05159338406755,0.333307802387134,4.19867624021726,0.0735126202698941,-3.58635384133787,4.11973344291624,0.467187506704589,0.715693500261674,0.99736954728935,0.711431986647254,0.993432004576306
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae; g__Acidobacterium",-2.32531766460438,-2.49111521992638,-2.16681686801741,-2.26818022228317,-2.16118841907651,-1.80422168487379,-2.49265352155415,-2.25672429952836,-2.54045859095121,-2.61585689185047,-0.399506420890676,-2.30800981718875,-3.32685759294912,-1.58757710393685,-2.76104794651235,-2.24890402355464,-3.82443683418661,-3.21128381324934,-2.29061342719472,-2.52261934245684,-2.46761768947711,-2.36420108683148,-2.04000742252776,0.296175759580024,4.19351695507971,0.0612962307213554,-3.31859049311875,4.20641314113126,0.464062507349464,0.650439348708489,1,0.668597281685033,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__JAAYVZ01",-2.38555984942715,-2.32769909270719,-2.4266170329181,-2.76070726370148,-1.9966747213279,-2.14883648345059,-2.87266155265282,-1.76747914342218,-1.90689527124486,-2.25384341839643,-2.60214369729727,-2.54634885432336,-2.7614047816778,-2.32317974901467,-3.02068575533792,-3.10276326408913,-3.8746988018502,-3.16513818848169,1.17522957171122,-2.97556081463222,-2.3726872184411,-2.01827530451444,-1.56393189718717,-0.226907203500296,4.38067028431868,-0.0399565286452298,-3.76851851083152,3.91106042464005,0.475000005099006,0.731734284345368,0.999803217611707,0.712506968650545,0.9965760161375
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115",-1.68206294107534,-1.10577715205347,-2.1078055126224,-2.80380060887103,-1.74326544703871,-2.11446761961184,-2.70072743806187,-2.71861134474694,-3.31914914334668,-1.87774039615078,-3.15169115380372,-2.28259874459633,0.428541930126928,-1.71573648359691,-2.57823526784228,-2.80428941042097,-3.30251605043807,-2.46386430202928,2.46676691779814,1.3579972160052,-0.478229194418885,0.181387266379121,-2.07090125448079,-1.21254562319391,4.34865118375422,-0.238283748837566,-5.13696972573132,2.59922186340355,0.393135748140252,0.47132731771826,1,0.434557182851978,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01",-0.412821410810597,-1.11387399064802,0.0448622062110076,1.12178913491723,-2.17175715817872,-2.59364593211986,0.651848004422158,-1.70260715331279,1.28088965221893,0.979879379318966,0.35349507595642,-2.7805262926458,0.363726685331519,-1.29618469774764,0.280958563986021,1.03154785098604,-3.69425214744015,-2.51393595660757,-1.63382028373321,1.89465832379774,-2.5309708950011,-2.42078655150822,-1.83059060930955,0.907989784911516,3.8682016476164,0.194770808682411,-3.30216969207376,7.04946060243505,0.385937524480017,0.508479780279718,1,0.49815728244279,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA11600",-1.95525282128185,-2.3784400230914,-1.53973209326867,-0.109572434025358,-2.24820999285005,-2.29551693967291,-2.16948265540101,-2.51496178136629,-0.373679703133336,-2.18752577296447,-0.539235176054811,-2.56593430174005,-3.09112964568068,-1.89910005056605,-2.86708763629579,-2.88307282400281,-3.50431487467673,-2.90506010486941,-2.56287055119946,-0.338286459687543,-2.72173852071917,-2.32663542878322,-2.32168905905141,0.593720000892123,4.00086821546827,0.138177413205258,-3.37490228804266,5.24255746548925,0.426562515270299,0.610636677226483,1,0.59265142268722,0.998987615914553
