"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ LETROZOLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Brenneria",-2.63276630520479,-2.585468776803,-2.7092563748638,-3.10645369279909,-2.56471745517273,-1.90940183471831,-0.545886767336007,-2.96411036842974,-2.99956093933565,-2.80030114415638,-3.05322917709081,-2.67863822430592,-2.85212360496869,-2.97260487447601,-2.5774727388136,-3.12772728236571,-1.78035237125049,-3.05594276366938,-1.6555333706902,-3.00268250663848,-2.65873353174404,-3.2466903263942,-3.387728403179,-0.184952301915416,4.02632990666075,-0.0418576953499983,-3.98133031515032,4.00566517043601,0.478939161845372,0.71041752422017,0.994650738190472,0.723140672698045,0.993031687739506
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Buttiauxella",-2.68588550010785,-2.609425542403,-2.76300857828888,-3.19300977520817,-2.74491427490355,-2.5757847558111,-0.53777772897638,-2.75089513825532,-2.96256302472047,-2.7837641341886,-3.07715497282705,-3.04684680845062,-3.31163399891711,-3.2329934645801,-2.29114964110825,-3.11119695683861,-2.73115011671075,-3.25058619948653,-1.1777898764298,-3.29154049906017,-2.79836242915008,-2.49568600160233,-2.98274643788561,-0.0372046097834779,4.22613420195809,-0.00809527009674341,-4.66219072712447,3.6020683133929,0.494539782698815,0.71735866588255,0.997689885054456,0.735978550764251,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cedecea",-2.22719123659528,-2.18644889692315,-2.24859389036369,-3.10834174076725,-2.98283077042122,-3.09527450855071,0.857862176729407,-2.80938391599534,-2.90144835672502,-2.28537599058999,-0.817790457191748,-2.59792483307391,-3.11244552305551,-2.82846095638115,-2.03760862157965,-3.00624436842735,-1.92337553775674,-0.336636653127867,-2.10134291160877,-2.34449856866368,-2.97545806148154,-3.07487445383063,-2.73947578774014,-0.222503180146782,4.19704299571694,-0.0491984538157303,-4.04544083854725,3.40881175681585,0.474258975593382,0.730601185551025,1,0.737817378055381,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter",0.323012519180756,0.763009209326341,0.0477804474866073,-0.4291476853299,-2.55614046238302,-0.103548252454816,5.98329944843024,1.12992072016602,3.10751884454044,3.0194403827442,2.62535350153653,-2.82376443353704,-3.26400628834984,0.41237918048502,0.0513969034635409,1.28226419087917,-1.60405098249794,3.81926323254235,2.88078742273153,-2.84193294167485,-0.317824180641981,-2.47354652616086,-2.8338416556524,-0.912968265321062,4.74877564511277,-0.179429627138285,-4.75419471607132,3.14460473147051,0.419656802998231,0.562603882482309,1,0.578553013839875,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter_A",-0.873821919256173,-0.322283607986781,-1.38434340551217,-3.48967333009781,-3.15882663480531,-1.79097495723936,4.05038751833206,-0.187584851846594,1.34298848266395,0.727774723616129,0.956943269609612,-2.68233721794256,-3.20604869243861,-0.76551810178106,-2.30898013889622,-0.717147558536187,-2.2447384281035,1.8543171943293,0.705779080068172,-3.22402249586537,-2.91433349624925,-2.80280955323431,-2.89487173318208,-0.959203930732224,4.57543069048502,-0.191236289284369,-4.52972270832769,3.33893260304823,0.404687520122571,0.576602544078979,1,0.553562451963671,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter",-1.47631594533652,-1.35203743341503,-1.55540885616869,-3.68808774800419,-2.24240689604643,-2.49504008793347,3.16506331106664,-2.03158150320015,-0.554916180274345,-0.240735913163325,-0.174082444607263,-3.20340634987259,-3.48953217081423,-2.25843938877214,-2.1139054820342,-0.563024408253561,-1.57848715732637,1.36330219433155,0.851193327814538,-2.69780307401764,-3.12375971428196,-3.37241591446533,-2.82138495278713,-0.247040788681838,4.43635243090812,-0.05186398868961,-4.36695288427505,4.17179521458595,0.479687504139417,0.754519852119921,1,0.783185491946134,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Dickeya",-2.56674405553329,-2.40719417601893,-2.74806860765377,-2.71956997007134,-2.56410214821981,-2.53777961895076,-0.745926922949216,-2.16366421263386,-2.70184599666534,-2.40310078679207,-3.47264655153603,-2.81211864659713,-2.52326149212332,-3.21569296561305,-1.99273541447665,-3.51345675288295,-1.77294800930741,-2.89455035223631,-1.89475098937243,-3.07458092622802,-3.14357303887487,-2.50436303612992,-3.37943661073879,-0.236830922232823,3.92506950192062,-0.0435254849181196,-3.9610058569208,4.18764719288958,0.476562504778868,0.714417967420611,1,0.728091628282708,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Edwardsiella",-2.29151338791375,-2.03907643067904,-2.572222953283,-2.51605241589044,-2.40990547606488,-2.82526538240547,1.65762801231586,-2.12271164289144,-2.81540773127651,-2.46581380696576,-2.69116201026306,-0.481717835293695,-3.16497715791082,-2.53032484262595,-2.52852674097205,-3.35917562526573,-2.87605499634212,-2.49187479386583,-1.85155741576751,-3.02073884255224,-2.37914500726937,-2.81753386961197,-2.40412338418426,-0.761682646127401,4.24742190186256,-0.159032530581265,-4.09353321106137,2.88061773308923,0.414976616821549,0.559028496024882,1,0.596827792466821,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter",1.44572029725732,1.88088833608916,1.16752560591882,-0.530034108448454,-2.86692792093321,0.42259297788047,7.52273777255661,2.19051644663071,4.39920154702962,4.70043409570722,4.05573394195164,1.54338828048598,-0.863523354234305,1.35866469249529,-0.0224847213007049,2.45405144737477,-2.11094125797295,5.82062503414877,4.52252551454696,1.74078905764365,-0.329637243026079,1.05526695009955,-3.09432372477608,-1.09423017940835,4.48144063350992,-0.202177915337674,-4.89569262670671,3.17782316246535,0.412500018364311,0.517107488168038,1,0.601449682283661,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter_B",-0.809258623481913,-0.760690037275216,-0.893073693924087,-2.95048511945174,-2.60655820519988,-2.3103578938245,4.28718172112412,-0.00653629009395296,0.462362953663462,-0.252420928768743,0.583405199346382,-2.82915118715485,-3.21905781276907,-0.609092906131403,0.0927819913175316,-0.524179060150162,-2.33389758921486,2.15476881603963,0.908960001608223,-2.29270215290095,-2.5999908479571,-2.40938110334843,-2.41258646190045,-0.0512155148957927,4.21038615436949,-0.00639414185819193,-3.75971463608319,4.03023868455614,0.496875000635807,0.776835541085213,1,0.799544821954361,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Erwinia",-0.731106354684378,-0.678031817609742,-0.789956291001554,-2.72783883141718,-2.35264807399078,-2.75429379240665,4.89381246793343,-2.92948656011547,1.7094024428945,1.98110119970273,1.24253991990209,-2.94302665668553,-3.11778266495329,-0.0834200514296164,-2.69691817645628,1.31904032496601,-2.19457731129488,4.00368425521907,2.0360105930265,-2.50501534455638,-3.1383809811956,-3.08147307936136,-2.64231506002334,-0.309757222887518,5.3805187218916,-0.0508297713811673,-4.2861169634772,3.24437296954007,0.474258975593382,0.764488016222108,1,0.802056157851437,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia",10.203470298656,10.8381833615217,10.0153318528099,9.46795879739507,6.12724930669831,10.1439736701661,15.776160591039,11.4447575032411,12.5293517005075,12.9328408478066,12.1859387168638,10.1549147782463,7.79334388172308,10.2228242222042,9.83732241575395,11.008812939944,7.18658191203806,14.0973360670513,12.7953055360426,7.40952784248867,8.14210219021251,10.598975619054,7.73880534987447,-1.24793489815129,3.4558927630934,-0.273108935474271,-5.14887144648225,3.00495820192332,0.399375996308603,0.415857647157883,1,0.484187252376107,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Franconibacter",-2.23543975353939,-2.23198657930847,-2.23686241871016,-2.49778560123504,-3.05161789323827,-2.20269367415998,0.503608267394537,-2.61593818094235,-2.73518220021232,-3.48724926263264,-0.791420072272473,-3.28567370126977,-2.92183744701006,-3.19832557462262,-2.21202273531434,-3.03684045144836,-1.94771638811313,-0.443235257832816,-2.01820531773238,-2.58971473700086,-2.65851256348696,-2.35051330945025,-2.45228784467833,-0.152487497169995,4.05508215524321,-0.0312639538713666,-4.07688032024094,4.86721631600233,0.485179410184784,0.765563782955836,1,0.767230073042283,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Hafnia",-1.51971308612716,-1.12675506084085,-1.86419501176823,0.337928622161575,-2.22748823375479,-2.79869018825159,2.25843244498602,-2.48721711448884,-0.423311446509357,-0.0818456860385961,-0.829253609694234,-3.30527871642172,-2.72114914940296,-0.653661059721083,-2.76736869616052,-2.73246567704832,-2.21813021148264,1.29258608369198,-1.60853425736754,-2.55806669245881,-2.41295767453672,-2.83872806766327,-2.64024641626724,-0.794414796178961,4.03045086441061,-0.163869952424224,-4.44476327295868,3.82759142201144,0.407812519415594,0.594011480700975,1,0.580904933398645,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Jejubacter",-2.66782845223963,-2.75092575903977,-2.6231260730728,-3.19665399861323,-2.67462068610465,-2.58908692636984,-0.739143451037783,-3.3260390136864,-2.53801841576687,-3.04653184661945,-3.3074164297038,-2.50455171277295,-3.37181141475873,-2.69791623702518,-2.33963771521447,-3.0861668365867,-2.34624598842649,-2.93917291439828,-1.43115210915033,-2.91280256368486,-2.94961465438102,-2.8073252231566,-2.62528984665011,0.0834503992779094,4.35350179732771,0.0157393642030521,-4.34688056016056,4.02262968183696,0.489859596441259,0.723093288771818,1,0.706197379922709,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella",0.900105117887367,1.17704081167753,0.73490511597412,-2.81339012711602,-2.65608956163858,0.677738470310189,6.34094157517294,1.51843929046299,3.09394901191902,3.57170443153298,2.8533274578712,-0.301611044678772,-2.86833219771917,0.98675794711575,-0.208997277720178,2.63834642154672,-1.99418162265934,4.65281802496059,3.61111525338177,-2.81466088896481,-2.54488658142031,0.451355175701025,0.912356641139977,-0.470371281681418,4.84548199118969,-0.0889714746930791,-4.00900263655572,3.3418918198362,0.453978168540086,0.745138919992433,1,0.78218653927342,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Kluyvera",-1.52767107025212,-0.913562928776525,-2.03643917267732,-2.7091634330352,-2.21149724993856,-2.20473715769799,3.99554544440747,-2.79114859282778,1.45574189656852,1.31209295973308,0.0239124998598577,-3.26806467483785,-2.86516427538388,-3.05431057774452,-2.68427089448603,-3.13423648724173,-2.31156516463113,2.10033105701043,1.64307687683192,-3.04440606285958,-2.63500567421627,-3.82568597707976,-2.43879690656679,-1.24246125334325,4.91110710399082,-0.215894743975883,-4.26885179275785,3.46930007288369,0.406250019768453,0.546325153247694,1,0.560268847831735,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Kosakonia",-1.36052966456359,-1.13929537015025,-1.59001991092914,-2.77431797848142,-2.26955731829549,-2.40736497144565,2.74798140889811,-3.04058192832378,-0.560887419368452,1.33269168615638,0.0624147172943594,-2.46824069254953,-3.53706232564546,-2.96765780065718,-2.19608465955934,-0.432254163455815,-1.90418553391296,1.00895535130924,0.502073986541753,-2.84033491242847,-3.15411629532796,-2.77224332744106,-2.60535256672158,-0.592603854925567,4.4863862324841,-0.113053869827923,-4.21455757778202,3.15103933935979,0.446177858157851,0.670924010577076,1,0.689086974847908,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Leclercia",-1.75905709736639,-1.61554200196197,-1.90909819336965,-3.4604838745179,-2.58325296070366,-2.53923002012729,2.33604491478655,-2.87161973246883,-0.384674541777448,-0.15091207397958,-0.997142938978335,-2.80752826540329,-3.36759732785007,-2.66732986477234,-2.5405506139275,-2.87421053817083,-2.3063532312816,0.311893724412633,0.675852401231213,-3.01151848495554,-2.66961081016982,-2.76608378859279,-2.80630458114978,-0.434895211755167,4.28729634875516,-0.0795183319505344,-4.75719905367711,3.91391739204082,0.446875010931708,0.66861760421022,1,0.699432460921432,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Lelliottia",-1.99133633764575,-1.6572792747665,-2.31710174693078,-3.18413501083463,-2.37929906878952,-3.16202813748459,1.82968714003634,-2.715228715446,-0.27679934011204,-0.268096470743746,-0.917648641369404,-2.66198088131462,-3.24622759073208,-2.88160950959347,-2.60466601978823,-2.86687594619631,-1.78307222035287,-0.357406157088946,-2.00882358601059,-2.61382593958244,-2.89578879423211,-3.6343450183343,-2.85139912188448,-0.780975014383202,4.17335102769069,-0.154577838675699,-4.42237204471956,3.18557945351851,0.410937518713548,0.545564293898633,1,0.552050237881314,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Mangrovibacter",-2.61091135959327,-2.61137462889887,-2.60452599369055,-2.96161183975357,-2.86336189708003,-2.65968451120565,-0.667246341852215,-2.56917081498423,-2.85023937682968,-2.82094807921857,-3.40185645940941,-2.9004993047578,-3.1585927750975,-2.64338877978244,-1.9872753004688,-2.70568365745608,-1.98738103368084,-3.22297041332193,-1.53469249892649,-2.97449776855794,-2.84957191316363,-3.11783185453055,-2.9164981588886,-0.026927115522053,4.12200503832762,-0.00789879051913172,-4.68337018298198,3.84550642332473,0.496875000635807,0.71948049088693,1,0.748745304617983,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Mixta",-1.81857888888214,-1.67385116571015,-2.0108854638738,-2.68859078705438,-2.15853741138674,-2.75906248017821,2.44416912906756,-2.68473271415209,-0.26882924879575,-2.70542180873091,-0.730164106099259,-2.73609881510887,-3.34024438409527,-3.31048286059932,-2.61442148470202,-2.94251543017709,-2.3848447011543,0.574259788077374,0.534036475988021,-2.8044769185582,-3.06519039535344,-2.51645032426249,-2.86398008804763,-0.326671603054507,4.58739310032225,-0.0687741312005323,-4.45895092658789,3.68749729071124,0.464062507349464,0.674890663474455,1,0.727252091948299,0.998036515052285
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Moellerella",-1.78976702958329,-1.23696788914226,-2.29766705809421,0.323990688941912,-2.44552277375373,-2.60276599979488,1.88310837068285,0.584996253706747,-2.61846369547433,-2.54138312860805,-0.710233445964757,-2.78029277572478,-2.52061247368771,-2.9794337427163,-2.6420544760526,-2.81508516982068,-2.42814821418077,0.54433257832509,-1.48183257913929,-2.54941454679657,-2.35478097465261,-3.00716228545115,-3.00850918668233,-1.05320491652455,4.25508007401504,-0.228041829737724,-4.61755827107141,3.71715234951401,0.382812525227629,0.524342658534158,1,0.494819603287579,0.996842592392128
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Morganella",-2.46345701023563,-2.55438961328451,-2.29299517509308,-2.9930993733358,-2.53294772231911,-2.48576569768284,-0.432176337700218,-2.76197371523867,-2.82696369792601,-2.83467000982145,-3.35874372432637,-2.7013970000136,-3.04603896809966,-2.98084359362344,-2.19871592927529,-2.6492507819973,-2.61335793052485,-0.572588412479359,-1.69914370866682,-2.87898339789664,-2.80658135555168,-2.79994222672966,-2.98154711310135,0.294658971896821,4.12984546825398,0.0579110068039639,-4.3925430925722,3.94388349219089,0.472698913509976,0.711723240205644,1,0.704765254579012,1
"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Pantoea",1.33865031397317,1.505869485882,1.20983195346771,-3.18144863638452,0.811470183113737,-2.44387285905297,2.55809853625846,3.24596177394293,2.94835007611713,0.720552648045588,0.026378740693735,4.46344193419494,1.63770962198946,3.87283845137054,0.954041073735199,0.793065927145708,-2.06477354177635,2.3118068398412,0.638167051037318,-2.88164358801109,-2.78471689781697,2.80896905364248,2.01837632314124,-0.466186953635075,3.89624769199763,-0.100907562100186,-4.91849250938979,3.51437566723052,0.440625012252645,0.651454206328926,1,0.664297015387863,1
