"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae",14.6675085065981,12.9095800420212,15.6092233654617,4.40215114463124,10.3678311207398,16.7365330375144,14.4602616142114,8.84804097005034,13.6528047738285,14.9168876121434,12.7017089489424,13.0998851900044,8.5601707217245,15.5451587431165,15.5593572525973,19.0850027631036,14.044545611934,16.998711919238,10.756524196091,18.5147382009832,15.3931020181998,15.5892674224834,15.8088170956593,3.40909464632199,4.38173835382207,0.847186016772552,-0.919707945571083,16.8691398107185,0.141965827658337,0.011806556070795,0.515812291279677,0.00392713903743321,0.284734137751615
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae",-1.22574788169917,-2.01298029261725,-0.505458357018741,-1.6024625431849,-2.79328390758341,-2.8771342377256,6.25860089292689,-3.03888623119247,-2.10664269807666,-2.68226465315708,-2.25017714911996,-1.72069236775994,-2.0060070145521,-2.5596539328484,-2.77228293729508,-0.450761030284333,2.23777710245732,1.10035104183152,-1.83928352929429,-0.231466230463537,-2.18242400193066,-2.21164308149616,2.47481841673503,1.52915303676157,5.14452783532432,0.254359386666577,-3.47792965501861,5.54577152522354,0.365054631703392,0.554704172953814,0.994799174114522,0.39584150853017,0.946034766327937
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae",8.10520172886341,8.3095957730921,7.56694846956462,7.92674948438675,8.70909319102802,7.94555395799575,6.83171141070081,8.25020426597195,9.37914453575665,8.45209454151805,7.3168607959345,8.98982938905436,8.43708896371149,7.70583949746635,8.86423929249311,8.3626456799847,7.42103790455313,6.41363332944672,8.28882329366204,8.53196485060621,6.6004400621309,7.39064061028992,6.70521645391997,-0.596760136646044,1.17912196003976,-0.486952965513934,-5.72446436660603,1.98863564595518,0.292187551108132,0.125206583885879,0.999849646918818,0.168400231250947,1
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae",-2.29502841076673,-2.48046729447152,-2.12610291384079,-1.64113196719986,-2.88190582069562,-2.20204192031344,-4.10448235643783,-2.90779806202705,-1.75937985848947,-2.30596525842001,-2.55136723737866,-1.68288525929432,-1.70398285970434,-2.30804223104845,-0.159019545627102,-2.62558939080486,-2.65211380044667,-2.14009329378567,-2.1658431242708,-2.34292719836296,-1.87723386783135,-2.68647000561348,-3.24206289380202,0.245834587087016,4.24702780699568,0.0410566373845908,-3.81501992427167,3.72253797744935,0.477379099761099,0.677661354095126,0.990489876267671,0.66078368226201,0.977939716101799
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae",-2.30859910963819,-2.0088465527279,-2.60213304689005,-1.49780578003758,-2.73538735189675,-2.40880262224124,-3.77827044555283,-2.69472142764207,1.40619328155044,-2.99826700865169,-1.64708185581302,-1.62281116504695,-2.64798192248515,-2.53569977200255,-2.27838345790017,-2.60213304689005,-2.71417611944123,-2.88821999813247,-2.1136098536492,-2.83643417555693,-2.0874322209551,-2.72373007503854,-3.2446526336288,-0.642585226372365,4.43170093975528,-0.131535617473398,-3.75243019349798,3.41543825356629,0.431250014256752,0.606696472867808,0.99863232915109,0.611288249772673,0.998140543889904
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704",-1.49152472460788,-0.84473085944526,-2.10118343922987,-1.06775095200297,-2.72667907311875,-1.82550424561109,-3.55325111280086,-2.32967036206636,2.64237301365084,1.41532497282411,0.158369192163484,0.0309489391849862,-2.38547215857418,-2.64193606311227,0.821608428758687,-1.9519502658477,-2.40740842366895,-2.15078003904584,-2.1198877897668,-2.11564009615213,-2.36559275576212,-2.88492300994266,-3.43763293425145,-1.28310978483132,4.33976616654483,-0.260382003005232,-5.43621860653987,3.72722645773054,0.361934507692328,0.466441896638898,0.994589961885837,0.439179918378835,0.994232680535409
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336",-1.80896821512572,-1.03241353474393,-2.29021996657475,-1.12776148088908,0.334759614306902,0.88387513001156,-3.15411090119801,-3.36619478176838,-1.82644033341487,2.08644478039326,-2.3531777732013,-2.35803013774509,-1.43938019322488,-0.286212353067262,-2.28579374799569,-2.9093606180399,-2.90007227871153,-2.57069052222321,-1.69531779270641,-3.19777886553266,-2.099109059532,-2.24499623327226,-3.49872661913937,-1.35436793956766,4.51679250842848,-0.29568938613361,-5.6475231894085,2.91096478605192,0.361934507692328,0.42435428649549,1,0.412326341904999,0.999126694096891
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823",-2.17679032644133,-2.13723345886769,-2.20873376506841,-1.36770868899315,-2.87300380367387,-2.59327150637533,-3.62847089656478,-2.9866054483589,-1.71014696893017,-0.223419116742336,-2.05828510267827,-2.42832866158099,-1.94301775060342,-2.70395199264631,0.554425784913448,-2.87373234508079,-2.73979386350296,-2.04422724111296,-2.3237912048088,-2.20873376506841,-2.38438772921618,-2.41729411141218,-2.96471578371998,0.0257674589523091,4.4704730366941,0.00385423682377233,-4.72655600433634,3.54252505228619,0.497659906870875,0.740903112462191,0.994508043659126,0.742756239986793,0.981557456649673
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14",-1.62453595702274,-1.54152086962199,-1.74597659429329,-1.40946350066025,-0.428880451000447,-2.66825382180745,-3.22571746661543,-2.81133305511251,-1.97768716465061,-0.0759005498216183,-2.51605280299347,0.236666980560955,-2.09646324970106,-2.14765402878995,0.552664033012473,-0.112097053699696,-3.3575338723509,-2.10433975756773,-1.85469247138709,-2.51728479258394,-2.64138535259013,-2.25208125358591,-3.00548126384271,-0.231630574325788,3.91170482299122,-0.0617534199279818,-4.61946216049136,3.71295857938752,0.467187506704589,0.675616990651193,0.995393178061166,0.686605577085453,0.995226240331686
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__RAAP-2",-1.99938409252672,-1.85226346669923,-2.17094097159957,-1.90427884722533,-2.86234902124707,-2.47967609188766,-4.13985560273096,-2.36522026936214,-2.37225561237508,-0.151149244808611,-2.48955462381748,-0.019027806140361,-2.06671319387305,-2.31765808419505,-2.41443556148539,-2.82076001778,-2.62015376886968,1.02360449258205,-2.17829842907774,-2.34904752889013,-2.09390978548089,-3.01368254874652,-2.91501247584939,-0.199069355727937,4.50749936188488,-0.0350939851804897,-4.5678635636823,4.5381369629359,0.479687504139417,0.741335784796628,0.996610468803258,0.736060838348958,0.99137104279819
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__SZUA-35",-2.25822258469324,-2.46813676092238,-2.06185715114218,-1.35147905360475,-2.97223414379467,-2.43677108601767,-4.149989661913,-2.67960300374506,-1.6895912364859,-2.6235883235003,-2.35252285985228,-2.10602292254679,-2.31550525457671,-2.43860876104357,-2.39600776045352,-2.12529420377447,-2.98968913081388,-2.04252075325772,0.293260492438494,-2.87648644510557,-1.92629495626706,-2.50912692745889,-2.80077269748042,0.283490131410913,4.17556577053541,0.0580983894065164,-3.6565141980103,4.72582746875623,0.472698913509976,0.668126302747732,0.994009150785816,0.64570695606638,0.972580009433708
