"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003",5.50355007398933,5.80320540513597,5.06617834956322,5.25407178623393,5.94558777987303,6.40653366450689,1.83499787522463,4.86139856224364,5.9583033724589,5.95630124057056,6.12659783692806,5.67262016545977,4.80154945977783,6.06312773264397,6.54167240956384,6.12274135566232,2.20932114179393,4.96898286388093,6.11861798087544,5.03787770332719,5.05721742000264,3.54533602287827,2.0831865170008,-0.184471994470935,1.69000330790263,-0.0940256142498308,-7.73799805001619,3.91290791687685,0.455538230618297,0.453827685245012,1,0.793862580917535,1
"K00004",-5.11542117852965,-4.64851469949767,-5.54608226827178,-3.76192027682247,-5.1490859902001,-4.14391554769698,-9.97184564722866,-4.49589314120936,-2.23514863035023,-4.42994588656442,-5.38082365492437,-4.40258555056834,-4.76331114187462,-5.33845459355651,-5.30881433998831,-4.99125823603616,-7.23955058984141,-5.54063705033028,-5.20519180778592,-5.59500231451741,-4.84803946197518,-4.81476175487123,-6.38013594871002,-0.745913400277781,4.76573070018231,-0.14146765036703,-4.51011028184298,3.64315136797154,0.429687514593698,0.637143140485362,1,0.593291286886488,1
"K00005",-0.632036372772061,-1.04151730525139,-0.118263205525997,-0.69568274001276,-0.672747502321458,-1.36049189359104,3.14448919026909,-4.42352305648745,-4.05688989496221,-1.15406290094021,-1.81794974029825,-0.0747638907545323,-0.841058173233316,-1.82750844442758,-0.50543593721312,-0.765624914872829,1.09625114354312,0.470797042352,2.0201934358895,-0.0771374313694899,-5.07403173467777,-0.661860496074357,0.499619541958801,0.892251891388067,2.98104181947364,0.231974160129758,-3.90154597005241,6.99388588489503,0.369734817735309,0.485420405098038,1,0.270558956813311,1
"K00008",1.65631540370516,2.03974669820207,1.53166550376028,-0.312538314032825,2.4185830871483,3.15093138403962,0.597823330054986,-4.5368762119141,2.92764379939043,1.72799203707831,1.36374919342098,2.32299144435094,3.69475988983423,0.0532982251273513,2.51301762392298,3.10678695042953,1.45130672867445,1.71997249964042,1.49629019657055,1.47905991013452,1.22267660548432,1.99719688162358,0.930077546951686,-0.327779438173966,1.82852472413143,-0.103628658054375,-4.19646896139242,6.6410738992736,0.431250014256752,0.741237552116789,1,0.672411349293122,1
"K00009",1.30102821408164,2.02919050853952,0.849614403602282,-3.94373096805897,1.18350384329904,1.84700796592003,2.59018356759043,1.28177217653792,4.3708113413957,2.51483625262451,0.397505931627878,3.27970078321751,2.17692104692061,1.68285654751882,2.87624440254272,2.54007450944037,0.808732081387848,0.580309332925886,0.252219093326197,1.00060939302278,0.720697527814577,0.341044866556521,0.291181933525618,-0.823450499543719,1.96177424189715,-0.326617992774135,-6.06039843953986,4.79101562211707,0.316692710657177,0.579093521260156,1,0.203561301798047,1
"K00010",0.731256712100313,0.922894325460064,0.244349030586463,0.233412237092654,1.09138601850875,1.94834204396182,-4.07851967603924,0.258071322161555,3.18576420631848,0.335199461371047,0.653378435754245,3.19092153906748,1.14873659442067,1.61156187186126,1.62208382249204,1.18296289593718,-0.950214868573847,-1.22518876937623,-5.82666119807803,0.754433710632362,-1.20158066920683,-1.3190588341129,0.929291059846257,-1.19024535026911,2.63358042081875,-0.334286250870761,-7.45697136799411,2.69489433471319,0.343213763815575,0.247024791426651,1,0.263880469375825,1
"K00012",3.7105333643491,4.16235884941362,3.46959556261471,4.22559522159097,4.86628704135224,3.50873173246142,0.473905668307133,5.19627174318931,2.78136138174791,4.35930631325232,4.441120003384,4.1379682906342,3.85049673142162,3.793293489464,3.58491667978107,3.58102658610669,2.19521198811256,3.15321861418718,3.01971543595989,2.91630939811448,5.2673970825666,5.23891268542559,3.43912718627394,-0.529527022892149,1.47550690752946,-0.289160733550653,-6.33752637801208,5.19063419014147,0.378125026361767,0.766411252054573,1,0.364444270416116,1
"K00013",5.4993805947852,5.6137183984894,5.24042175336728,5.52057440390903,6.15602776439526,6.27615522466564,2.53368126514424,4.8512171231922,5.72281719523397,5.75907170690076,5.7971850530803,5.23881649229736,3.97611682225375,5.98993657832635,6.12334697903159,5.74805570058969,2.5423551458954,4.98741583146671,5.91658866427258,5.05957931289791,5.47645094670686,4.89875807683641,3.10743872139402,-0.163516785752133,1.67542886494038,-0.0838797125588923,-6.36266182557689,4.93429240548514,0.4414976719363,0.724361110702442,1,0.750079919596657,1
"K00014",5.41329526698714,5.27793867756673,5.56900381253209,4.8883817976212,5.68520716082383,5.6549216585015,2.40430106402486,5.01285910379351,5.52511007427757,5.33920730065174,5.86568569631671,5.20240667750002,4.74542892280242,5.61794400808809,5.6649043120584,5.92123074519161,3.48128871702945,4.82679947924552,5.59662156105945,4.68561109883662,5.93721139364231,5.66342559838698,4.08423659245251,0.119339521628532,1.06850547668318,0.102494742154353,-4.97249953687967,6.79192442527903,0.434375013585459,0.778926881035878,1,0.668521167783455,1
"K00016",4.58283105093067,4.90344484186917,4.3336815253104,4.99819049590649,4.83911977275171,6.015037577786,0.310789260577894,4.44630633485577,5.76046053939756,6.16502654811337,3.5325809206,5.24667807357589,4.22933483199896,4.11327152105136,4.54274765935416,4.58960203299335,1.49573025330714,5.08501075431153,4.87594182241341,4.18023404763697,2.65044315681047,5.49263485334695,3.58041153585572,-0.63285398592391,1.65735675849902,-0.298098810094349,-5.87859615064439,5.15903108979347,0.32343754103916,0.459064524850447,1,0.229686468233779,1
